Population	Module	Species	Display	Depth	Shape	Simmetry	UV	Blue	Yellow	Red	Pollen	Nectar	Fenología
CANET	A	Centaurea_aspera	30	4.4	NT	A	2.938	32.593	20.556	43.914	6.379	3.900	6
CANET	A	Lathyrus_clymenum	22	8.1	P	Z	11.563	24.984	13.682	49.771	0.280	0.490	4.5
CANET	A	Lathyrus_latifolius	21	13.4	P	Z	26.133	17.566	9.318	46.984	1.340	0.660	4.5
CANET	A	Scabiosa_atropurpurea	36	8.7	T	A	2.456	30.464	25.764	41.316	35.433	7.800	6
CANET	A	Sedum_sediforme	270	0.0	D	A	4.844	26.011	34.834	34.311	0.031	0.160	7
CANET	B	Euphorbia_segetalis	163	0.0	D	A	12.516	10.186	44.677	32.621	0.188	0.070	4.5
CANET	B	Foeniculum_vulgare	6345	0.0	D	A	8.950	10.387	39.069	41.594	0.041	0.180	8
CANET	B	Galactites_tomentosa	19	5.8	NT	A	3.536	32.764	16.731	46.969	6.988	2.220	5.5
CANET	B	Ononis_natrix	90	4.7	P	Z	16.514	3.987	38.127	41.372	0.432	0.000	5
CANET	B	Psoralea_bituminosa	842	5.9	P	Z	6.104	30.749	21.201	41.947	1.930	0.530	5.5
CANET	C	Andryala_integrifolia	17	3.3	T	A	2.762	12.079	41.363	43.796	0.575	0.000	6
CANET	C	Brassica_fruticulosa	78	0.0	D	A	23.040	7.336	33.067	36.557	0.816	0.060	5
CANET	C	Daucus_carota	11248	0.0	D	A	1.187	26.327	35.977	36.508	NA	0.020	6.5
CANET	C	Lobularia_maritima	631	0.0	D	A	3.398	28.782	33.461	34.359	0.019	0.000	2
CANET	C	Papaver_rhoeas	1	0.0	D	A	21.742	6.346	12.119	59.793	12.504	0.000	4.5
CANET	C	Reichardia_picroides	2	4.2	T	A	16.795	2.784	36.711	43.711	18.261	0.000	5.5
CANET	C	Sonchus_tenerrimum	43	4.3	T	A	15.297	2.594	36.627	45.482	2.629	0.000	5
COLLSEROLA	A	Anagallis_arvensis	7	0.0	D	A	39.475	29.177	9.933	21.415	0.208	0.000	4.5
COLLSEROLA	A	Asphodellus_fistulosus	37	0.0	D	A	4.085	28.775	32.032	35.108	13.081	0.000	4
COLLSEROLA	A	Borago_officinale	40	2.5	T	A	19.455	36.985	11.389	32.172	0.589	0.450	4
COLLSEROLA	A	Cistus_albidus	62	0.0	D	A	3.969	30.536	14.180	51.314	5.588	0.440	5
COLLSEROLA	A	Echium_vulgare	24	11.5	T	Z	24.220	26.352	9.681	39.747	0.057	3.250	3
COLLSEROLA	A	Hirschfeldia_incana	257	0.0	D	A	21.690	5.384	33.819	39.108	0.235	0.050	3.5
COLLSEROLA	A	Lathyrus_clymenum	29	8.0	P	Z	11.013	23.384	13.359	52.244	0.557	0.470	4
