PLOT	Overall_flowers	ROF_Abundance	TVU_Abundance	TVUF_Abundance	TVUH_Abundance	Other_Flowers_Abundance	Flower_Richness	Pollinator_Richness	Wild_Abundance	Wild_Visit_Rate	Honeybee_Abundance	Honeybee_Visit_Rate	Honeybee_Visit_Rate_ROF	Wild_Visit_Rate_ROF	Honeybee_Visit_Rate_TVU	Wild_Visit_Rate_TVU	T_Max	Honeybees_ROF	Wild_ROF	Honeybees_TVU	Wild_TVU	Honeybees_OTHERS	Honeybees_OTHERS_rate	Wild_OTHERS	Wild_OTHERS_rate	ROF_nectar	TVU_nectar	ROF_pollen	TVU_pollen
1	49179.8	17107.8	31648	12059.60	19588.40	424	7	15	19	0.38633748	59	1.2	2.34	0.58	0.6	0.16	21	40	10	19	5	0	0	4	9.43	4157.20	727.90	15602.31	3134.14
2	44233.5	18237.6	24596.9	7940.20	16656.70	1399	8	16	27	0.610397097	178	4.02	8.83	1.04	0.65	0.16	21	161	19	16	4	1	0.71	4	2.86	4431.74	565.73	16632.69	2665.07
3	34703.9	30007	4540.9	2314.00	2226.90	156	5	16	77	2.218770801	122	3.52	4	2.33	0.22	1.54	18.26530838	120	70	1	7	1	6.41	0	0	7291.70	104.44	27366.38	356.30
4	101458.1	51911.8	49408.3	37098.10	12310.20	138	7	9	27	0.266119709	119	1.17	2.04	0.42	0.26	0.1	19.03251648	106	22	13	5	0	0	0	0	12614.57	1136.39	47343.56	1969.63
5	32532.7	26193.8	5830.9	4326.40	1504.50	508	10	12	22	0.676242673	65	2	2.29	0.53	0.69	1.03	20	60	14	4	6	1	1.97	2	3.94	6365.09	134.11	23888.75	240.72
6	21467.7	6607.7	14847	9963.50	4883.50	13	5	8	12	0.558979304	28	1.3	2.88	0.61	0.61	0.2	18.26530838	19	4	9	3	0	0	5	384.62	1605.67	341.48	6026.22	781.36
7	18039.23	7984.6	7991.63	7990.63	1.00	2063	5	15	19	1.053260034	30	1.66	2.38	1	1.25	1	20	19	8	10	8	1	0.48	3	1.45	1940.26	183.81	7281.96	0.16
8	9891.99	2272	7250.99	1805.39	5445.60	369	7	17	24	2.426205445	32	3.23	10.56	4.4	1.1	1.1	25	24	10	8	8	0	0	6	16.26	552.10	166.77	2072.06	871.30
9	23481.3	3107	20064.3	7488.50	12575.80	310	14	17	27	1.149851158	82	3.49	22.21	2.9	0.65	0.5	23	69	9	13	10	0	0	8	25.81	755.00	461.48	2833.58	2012.13
10	30318.7	23627	6597.7	4434.60	2163.10	94	6	5	7	0.230880612	33	1.09	1.4	0.17	0	0.45	19.03251648	33	4	0	3	0	0	0	0	5741.36	151.75	21547.82	346.10
11	5201	2026	3106	2305.00	801.00	69	5	9	9	1.730436455	21	4.04	6.91	1.48	2.25	1.61	26	14	3	7	5	0	0	1	14.49	492.32	71.44	1847.71	128.16
12	34600.1	22309.5	12211.6	7293.30	4918.30	79	6	10	34	0.982656119	38	1.1	1.21	1.12	0.9	0.74	18.26530838	27	25	11	9	0	0	0	0	5421.21	280.87	20346.26	786.93
13	13833	5826.2	7015.8	3233.60	3782.20	991	8	9	10	0.722908986	30	2.17	3.43	0.69	1	0.71	20	20	4	7	5	3	3.03	1	1.01	1415.77	161.36	5313.49	605.15
14	17935.2	15479.8	2144.4	1977.40	167.00	311	6	18	28	1.561175788	143	7.97	8.85	1.03	2.33	2.33	24	137	16	5	5	1	3.22	7	22.51	3761.59	49.32	14117.58	26.72
15	17249	6512.6	10296.4	4300.40	5996.00	440	7	13	38	2.203026262	55	3.19	7.22	2.61	0.78	0.58	32	47	17	8	6	0	0	15	34.09	1582.56	236.82	5939.49	959.36
16	51172.3	5247.4	45550.9	19373.40	26177.50	374	10	13	17	0.332210981	48	0.94	3.62	0.57	0.64	0.2	19	19	3	29	9	0	0	5	13.37	1275.12	1047.67	4785.63	4188.40
17	11996	10062	1418	1087.00	331.00	516	9	16	19	1.583861287	59	4.92	5.86	0.6	0	2.12	25	59	6	0	3	0	0	10	19.38	2445.07	32.61	9176.54	52.96
18	12020.4	4265	7631.4	5915.40	1716.00	124	8	12	17	1.414262421	58	4.83	13.6	1.64	0	1.18	29	58	7	0	9	0	0	1	8.06	1036.40	175.52	3889.68	274.56
19	31475.8	17695.2	11329.6	7183.60	4146.00	2451	12	24	37	1.175506262	143	4.54	7.12	0.62	1.5	1.15	23	126	11	17	13	0	0	13	5.3	4299.93	260.58	16138.02	663.36
20	26652	22741	3111	2243.00	868.00	800	10	24	36	1.350742909	135	5.07	5.85	1.06	0.64	0.96	25	133	24	2	3	0	0	9	11.25	5526.06	71.55	20739.79	138.88
21	8841	5233	3281	1982.00	1299.00	327	16	21	38	4.298156317	37	4.19	6.69	3.44	0.61	2.74	22	35	18	2	9	0	0	11	33.64	1271.62	75.46	4772.50	207.84
22	7088.8	2971.8	3979	3278.00	701.00	138	6	12	22	3.103487191	25	3.53	6.73	1.68	1.26	3.52	33	20	5	5	14	0	0	3	21.74	722.15	91.52	2710.28	112.16
