PLOT	ROF_Flowers	TVU_Flowers	OVERALL_Flowers	other_flowers_abundance	flower_richness	X	Y	Pollinator_species	Pollinator_count	Wild	Wild_rate	Honeybees	Honeybeerate	Honeybees_OTHERS	Honeybees_OTHERS_rate	Wild_OTHERS	Wild_OTHERS_rate	Honeybees_ROF	Honeybees_ROF_rate	Wild_ROF	Wild_ROF_rate	Honeybees_TVU	Honeybees_TVU_rate	Wild_TVU	Wild_TVU_rate	T_Max
1	17107.8	31648	49179.8	424	7	1.91879	41.2739	15	78	19	0.38633748	59	1.2	0	0	4	9.43	40	2.34	10	0.58	19	0.6	5	0.16	21.00
2	18237.6	24596.9	44233.5	1399	8	1.9132	41.29748	16	205	27	0.610397097	178	4.02	1	0.71	4	2.86	161	8.83	19	1.04	16	0.65	4	0.16	21.00
3	30007	4540.9	34703.9	156	5	1.899100	41.281164	16	199	77	2.218770801	122	3.52	1	6.41	0	0	120	4	70	2.33	1	0.22	7	1.54	18.26530838
4	51911.8	49408.3	101458.1	138	7	1.884117	41.279489	9	146	27	0.266119709	119	1.17	0	0	0	0	106	2.04	22	0.42	13	0.26	5	0.1	19.03251648
5	26193.8	5830.9	32532.7	508	10	1.873418	41.281519	12	87	22	0.676242673	65	2	1	1.97	2	3.94	60	2.29	14	0.53	4	0.69	6	1.03	20.00
6	6607.7	14847	21467.7	13	5	1.862565	41.286098	8	40	12	0.558979304	28	1.3	0	0	5	384.62	19	2.88	4	0.61	9	0.61	3	0.2	18.26530838
7	7984.6	7991.63	18039.23	2063	5	1.860773	41.295740	15	49	19	1.053260034	30	1.66	1	0.48	3	1.45	19	2.38	8	1	10	1.25	8	1	20.00
8	2272	7250.99	9891.99	369	7	1.874534	41.298283	17	56	24	2.426205445	32	3.23	0	0	6	16.26	24	10.56	10	4.4	8	1.1	8	1.1	25.00
9	3107	20064.3	23481.3	310	14	1.8917942	41.2904157	17	109	27	1.149851158	82	3.49	0	0	8	25.81	69	22.21	9	2.9	13	0.65	10	0.5	23.00
10	23627	6597.7	30318.7	94	6	1.90979	41.283	5	40	7	0.230880612	33	1.09	0	0	0	0	33	1.4	4	0.17	0	0	3	0.45	19.03251648
11	2026	3106	5201	69	5	1.872860	41.287449	9	30	9	1.730436455	21	4.04	0	0	1	14.49	14	6.91	3	1.48	7	2.25	5	1.61	26.00
12	22309.5	12211.6	34600.1	79	6	1.924495	41.291915	10	72	34	0.982656119	38	1.1	0	0	0	0	27	1.21	25	1.12	11	0.9	9	0.74	18.26530838
13	5826.2	7015.8	13833	991	8	1.9146895	41.2794432	9	40	10	0.722908986	30	2.17	3	3.03	1	1.01	20	3.43	4	0.69	7	1	5	0.71	20.00
14	15479.8	2144.4	17935.2	311	6	1.931036	41.308390	18	171	28	1.561175788	143	7.97	1	3.22	7	22.51	137	8.85	16	1.03	5	2.33	5	2.33	24.00
15	6512.6	10296.4	17249	440	7	1.879389	41.295472	13	93	38	2.203026262	55	3.19	0	0	15	34.09	47	7.22	17	2.61	8	0.78	6	0.58	32.00
16	5247.4	45550.9	51172.3	374	10	1.890676	41.302355	13	65	17	0.332210981	48	0.94	0	0	5	13.37	19	3.62	3	0.57	29	0.64	9	0.2	19.00
17	10062	1418	11996	516	9	1.919027	41.306184	16	78	19	1.583861287	59	4.92	0	0	10	19.38	59	5.86	6	0.6	0	0	3	2.12	25.00
18	4265	7631.4	12020.4	124	8	1.897001	41.306383	12	75	17	1.414262421	58	4.83	0	0	1	8.06	58	13.6	7	1.64	0	0	9	1.18	29.00
19	17695.2	11329.6	31475.8	2451	12	1.923469	41.314240	24	180	37	1.175506262	143	4.54	0	0	13	5.3	126	7.12	11	0.62	17	1.5	13	1.15	23.00
20	22741	3111	26652	800	10	1.909116	41.308443	24	171	36	1.350742909	135	5.07	0	0	9	11.25	133	5.85	24	1.06	2	0.64	3	0.96	25.00
21	5233	3281	8841	327	16	1.884722	41.298167	21	75	38	4.298156317	37	4.19	0	0	11	33.64	35	6.69	18	3.44	2	0.61	9	2.74	22.00
22	2971.8	3979	7088.8	138	6	1.940203	41.312919	12	47	22	3.103487191	25	3.53	0	0	3	21.74	20	6.73	5	1.68	5	1.26	14	3.52	33.00
23	18051	6901	25047	95	8	1.884139	41.286639	8	103	9	0.35932447	94	3.75	0	0	0	0	93	5.15	5	0.28	1	0.14	4	0.58	22.00
24	19250.4	2540	23784.4	1994	10	1.918568	41.310892	18	228	43	1.807907704	185	7.78	0	0	19	9.53	184	9.56	19	0.99	1	0.39	5	1.97	31.00
25	7191.5	956.8	15295.3	224	5	1.869758	41.295658	7	66	6	0.392277366	60	3.92	1	0.14	1	0.14	57	7.93	5	0.7	2	2.09	0	0	18.00
27	6043	10589.3	17214.3	582	7	1.91361	41.29292	5	18	5	0.29045619	13	0.76	0	0	2	3.44	11	1.82	1	0.17	2	0.19	2	0.19	18.00
28	979.3	8995.7	10251	276	8	1.93001	41.28703	8	14	8	0.780411667	6	0.59	0	0	2	7.25	1	1.02	2	2.04	5	0.56	4	0.44	19.00
29	1	53639.9	54366.9	727	12	1.90776	41.30025	13	59	27	0.496625704	32	0.59	0	0	15	20.63	0	0	0	0	32	0.6	12	0.22	20.00
30	13708.8	13529.7	28033.5	795	10	1.90137	41.30083	17	98	23	0.820446965	75	2.68	0	0	7	8.81	70	5.11	7	0.51	5	0.37	9	0.67	23.00
31	3051.2	8833.8	11922	37	6	1.85038	41.30149	12	62	26	2.180842141	36	3.02	0	0	1	27.03	24	7.87	21	6.88	12	1.36	4	0.45	22.00
