PLOT	NAME	DATA	Altura	T_Max	ROF_Flowers	TVUF_Flowers	TVUH_Flowers	TVU_Flowers	OVERALL_Flowers	other_flowers_abundance	flower_richness	X	Y	Number.of.species.LL	Pollinator_count	TVUF_pollinators	TVUH_pollinators	TVUF_visit_rate	TVUH_visit_rate	Pollinator_Richness	Wild_Abundance	Wild_Visit_Rate	Honeybee_Abundance	Honeybee_Visit_Rate	Honeybee_Visit_Rate_ROF	Wild_Visit_Rate_ROF	Honeybee_Visit_Rate_TVU	Wild_Visit_Rate_TVU	Honeybees_ROF	Wild_ROF	Honeybees_TVU	Wild_TVU	Honeybees_OTHERS	Honeybees_OTHERS_rate	Wild_OTHERS	Wild_OTHERS_rate	ROF_nectar	TVU_nectar	ROF_pollen	TVU_pollen
1	Pleta	05-abr	343	21.00	17107.80	12059.60	19588.40	31648.00	49179.80	424.00	8.00	1.91879	41.2739	4	78	5	19	0.41460745	0.969961814	15	19	0.38633748	59	1.2	2.34	0.58	0.6	0.16	40	10	19	5	0	0	4	9.43	4157.20	727.90	3.65	3.04
2	Bola	12-abr	536	21.00	18237.60	7940.20	16656.70	24596.90	44233.50	1399.00	9.00	1.9132	41.29748	4	205	5	15	0.62970706	0.900538522	16	27	0.610397097	178	4.02	8.83	1.04	0.65	0.16	161	19	16	4	1	0.71	4	2.86	4431.74	565.73	3.65	2.40
3	Xim	02-abr	437	18.26530838	30007.00	2314.00	2226.90	4540.90	34703.90	156.00	6.00	1.899100	41.281164	4	199	7	1	3.025064823	0.44905474	16	77	2.218770801	122	3.52	4	2.33	0.22	1.54	120	70	1	7	1	6.41	0	0	7291.70	104.44	3.65	0.16
4	Crani	03-abr	415	19.03251648	51911.80	37098.10	12310.20	49408.30	101458.10	138.00	8.00	1.884117	41.279489	3	146	14	4	0.377377817	0.324933795	9	27	0.266119709	119	1.17	2.04	0.42	0.26	0.1	106	22	13	5	0	0	0	0	12614.57	1136.39	2.74	0.64
5	Niu_Bombus	05-abr	362	20.00	26193.80	4326.40	1504.50	5830.90	32532.70	508.00	11.00	1.873418	41.281519	5	87	9	1	2.080251479	0.664672649	12	22	0.676242673	65	2	2.29	0.53	0.69	1.03	60	14	4	6	1	1.97	2	3.94	6365.09	134.11	4.56	0.16
6	Poble	02-abr	319	18.26530838	6607.70	9963.50	4883.50	14847.00	21467.70	13.00	6.00	1.862565	41.286098	4	40	2	10	0.200732674	2.047711682	8	12	0.558979304	28	1.3	2.88	0.61	0.61	0.2	19	4	9	3	0	0	5	384.62	1605.67	341.48	3.65	1.60
7	Apiari	06-abr	277	20.00	7984.60	7990.63	1.00	7991.63	18039.23	2063.00	6.00	1.860773	41.295740	3	49	18	0	2.252638403	NA	15	19	1.053260034	30	1.66	2.38	1	1.25	1	19	8	10	8	1	0.48	3	1.45	1940.26	183.81	2.74	0.00
8	MAT	12-abr	256	25.00	2272.00	1805.39	5445.60	7250.99	9891.99	369.00	8.00	1.874534	41.298283	6	56	7	9	3.877278594	1.652710445	17	24	2.426205445	32	3.23	10.56	4.4	1.1	1.1	24	10	8	8	0	0	6	16.26	552.10	166.77	5.47	1.44
9	Pujada	12-abr	404	23.00	3107.00	7488.50	12575.80	20064.30	23481.30	310.00	15.00	1.8917942	41.2904157	6	109	6	17	0.80122855	1.351802669	17	27	1.149851158	82	3.49	22.21	2.9	0.65	0.5	69	9	13	10	0	0	8	25.81	755.00	461.48	5.47	2.72
10	Mili-kk	03-abr	480	19.03251648	23627.00	4434.60	2163.10	6597.70	30318.70	94.00	7.00	1.90979	41.283	3	40	2	1	0.450998963	0.462299478	5	7	0.230880612	33	1.09	1.4	0.17	0	0.45	33	4	0	3	0	0	0	0	5741.36	151.75	2.74	0.16
11	Casa_d'art	15-abr	267	26.00	2026.00	2305.00	801.00	3106.00	5201.00	69.00	6.00	1.872860	41.287449	4	30	8	4	3.470715835	4.993757803	9	9	1.730436455	21	4.04	6.91	1.48	2.25	1.61	14	3	7	5	0	0	1	14.49	492.32	71.44	3.65	0.64
12	Avocador	02-abr	464	18.26530838	22309.50	7293.30	4918.30	12211.60	34600.10	79.00	7.00	1.924495	41.291915	3	72	5	15	0.68556072	3.049834292	10	34	0.982656119	38	1.1	1.21	1.12	0.9	0.74	27	25	11	9	0	0	0	0	5421.21	280.87	2.74	2.40
13	Emili	06-abr	374	20.00	5826.20	3233.60	3782.20	7015.80	13833.00	991.00	9.00	1.9146895	41.2794432	4	40	6	6	1.855517071	1.586378298	9	10	0.722908986	30	2.17	3.43	0.69	1	0.71	20	4	7	5	3	3.03	1	1.01	1415.77	161.36	3.65	0.96
14	Montserrat	12-abr	541	24.00	15479.80	1977.40	167.00	2144.40	17935.20	311.00	7.00	1.931036	41.308390	5	171	9	1	4.551431172	5.988023952	18	28	1.561175788	143	7.97	8.85	1.03	2.33	2.33	137	16	5	5	1	3.22	7	22.51	3761.59	49.32	4.56	0.16
15	4_Pins	14-abr	274	32.00	6512.60	4300.40	5996.00	10296.40	17249.00	440.00	8.00	1.879389	41.295472	7	93	3	11	0.697609525	1.834556371	13	38	2.203026262	55	3.19	7.22	2.61	0.78	0.58	47	17	8	6	0	0	15	34.09	1582.56	236.82	6.38	1.76
16	Cartell_caça	11-abr	327	19.00	5247.40	19373.40	26177.50	45550.90	51172.30	374.00	11.00	1.890676	41.302355	7	65	14	24	0.722640321	0.916817878	13	17	0.332210981	48	0.94	3.62	0.57	0.64	0.2	19	3	29	9	0	0	5	13.37	1275.12	1047.67	6.38	3.84
17	Aranyó	15-abr	429	25.00	10062.00	1087.00	331.00	1418.00	11996.00	516.00	10.00	1.919027	41.306184	6	78	1	2	0.919963201	6.042296073	16	19	1.583861287	59	4.92	5.86	0.6	0	2.12	59	6	0	3	0	0	10	19.38	2445.07	32.61	5.47	0.32
18	Lithospermum	14-abr	360	29.00	4265.00	5915.40	1716.00	7631.40	12020.40	124.00	9.00	1.897001	41.306383	3	75	9	0	1.52145248	0	12	17	1.414262421	58	4.83	13.6	1.64	0	1.18	58	7	0	9	0	0	1	8.06	1036.40	175.52	2.74	0.00
19	Forat	17-abr	499	23.00	17695.20	7183.60	4146.00	11329.60	31475.80	2451.00	13.00	1.923469	41.314240	6	180	27	3	3.758561167	0.723589001	24	37	1.175506262	143	4.54	7.12	0.62	1.5	1.15	126	11	17	13	0	0	13	5.3	4299.93	260.58	5.47	0.48
20	Xiclet	17-abr	435	25.00	22741.00	2243.00	868.00	3111.00	26652.00	800.00	11.00	1.909116	41.308443	7	171	3	2	1.337494427	2.304147465	24	36	1.350742909	135	5.07	5.85	1.06	0.64	0.96	133	24	2	3	0	0	9	11.25	5526.06	71.55	6.38	0.32
21	Canyó	17-abr	297	22.00	5233.00	1982.00	1299.00	3281.00	8841.00	327.00	17.00	1.884722	41.298167	7	75	8	3	4.036326942	2.309468822	21	38	4.298156317	37	4.19	6.69	3.44	0.61	2.74	35	18	2	9	0	0	11	33.64	1271.62	75.46	6.38	0.48
22	Pinxo	14-abr	415	33.00	2971.80	3278.00	701.00	3979.00	7088.80	138.00	7.00	1.940203	41.312919	5	47	11	8	3.355704698	11.41226819	12	22	3.103487191	25	3.53	6.73	1.68	1.26	3.52	20	5	5	14	0	0	3	21.74	722.15	91.52	4.56	1.28
23	Vallgrassa	11-abr	308	22.00	18051.00	4913.00	1988.00	6901.00	25047.00	95.00	9.00	1.884139	41.286639	2	103	5	0	1.017708121	0	8	9	0.35932447	94	3.75	5.15	0.28	0.14	0.58	93	5	1	4	0	0	0	0	4386.39	158.72	1.82	0.00
24	Iaia	14-abr	521	31.00	19250.40	1815.00	725.00	2540.00	23784.40	1994.00	11.00	1.918568	41.310892	7	228	2	4	1.101928375	5.517241379	18	43	1.807907704	185	7.78	9.56	0.99	0.39	1.97	184	19	1	5	0	0	19	9.53	4677.85	58.42	6.38	0.64
25	BBQ	10-abr	259	18.00	7191.50	809.80	147.00	956.80	15295.30	224.00	6.00	1.869758	41.295658	4	66	2	0	2.469745616	0	7	6	0.71664895	60	3.92	7.93	0.7	2.09	0	57	5	2	0	1	0.14	1	0.14	1747.53	22.01	3.65	0.00
27	Morella	11-abr	482	18.00	6043.00	4140.40	6448.90	10589.30	17214.30	582.00	8.00	1.91361	41.29292	4	18	1	3	0.241522558	0.465195615	5	5	0.29045619	13	0.76	1.82	0.17	0.19	0.19	11	1	2	2	0	0	2	3.44	1468.45	243.55	3.65	0.48
28	Cal_Ganxo	07-abr	415	19.00	979.30	6776.50	2219.20	8995.70	10251.00	276.00	9.00	1.93001	41.28703	4	14	7	2	1.032981628	0.901225667	8	8	0.780411667	6	0.59	1.02	2.04	0.56	0.44	1	2	5	4	0	0	2	7.25	237.97	206.90	3.65	0.32
29	Ruïnes	15-abr	485	20.00	0.00	29478.20	24161.70	53639.90	54366.90	727.00	13.00	1.90776	41.30025	5	59	17	27	0.576697356	1.117471039	13	27	0.49661657	32	0.59	0	0	0.6	0.22	0	0	32	12	0	0	15	20.63	0.00	1233.72	4.56	4.32
30	Plana	13-abr	489	23.00	13708.80	10460.30	3069.40	13529.70	28033.50	795.00	11.00	1.90137	41.30083	5	98	10	4	0.955995526	1.30318629	17	23	0.820446965	75	2.68	5.11	0.51	0.37	0.67	70	7	5	9	0	0	7	8.81	3331.24	311.18	4.56	0.64
31	Corral_Nou	07-abr	216	22.00	3051.20	3906.80	4927.00	8833.80	11922.00	37.00	7.00	1.85038	41.30149	4	62	6	10	1.535783762	2.029632636	12	26	2.180842141	36	3.02	7.87	6.88	1.36	0.45	24	21	12	4	0	0	1	27.03	741.44	203.18	3.65	1.60
32	Bob_Esponja	06-abr	379	24.00	13518.50	18496.00	14725.70	33221.70	46948.20	208.00	9.00	1.865857	41.275981	4	123	23	23	1.243512111	1.56189519	15	17	0.362101209	106	2.26	4.88	0.3	1.11	0.27	66	4	37	9	3	14.42	4	19.23	3285.00	764.10	3.65	3.68
33	Pla_de_Coconotes	13-abr	241	22.00	4268.70	15152.20	1605.00	16757.20	21162.90	137.00	9.00	1.853878	41.280115	4	81	22	5	1.451934373	3.115264798	13	23	1.086807574	58	2.74	7.96	0.47	1.19	0.42	34	2	20	7	4	29.2	14	102.19	1037.29	385.42	3.65	0.80
36	Tast_de_Vins	03-abr	250	19.03251648	1429.00	74729.60	36548.70	111278.30	112769.30	62.00	6.00	1.840066	41.267752	3	173	95	63	1.271249946	1.72372752	14	35	0.310368159	138	1.22	7.7	2.8	1.14	0.28	11	4	127	31	0	0	0	0	347.25	2559.40	2.74	10.08
37	Carbonera	09-abr	219	20.00	1780.00	28004.40	24603.40	52607.80	55713.80	1326.00	13.00	1.8569	41.270087	8	148	31	56	1.106968905	2.27610818	26	67	1.202574587	81	1.45	7.3	4.49	1.22	0.44	13	8	64	23	4	3.02	36	27.15	432.54	1209.98	7.30	8.96
38	CR7	08-abr	261	24.00	3323.70	10315.00	34088.90	44403.90	48125.60	398.00	13.00	1.878444	41.269453	7	143	33	73	3.19922443	2.141459537	28	60	1.246737703	83	1.72	6.32	1.5	1.35	1.04	21	5	60	46	2	5.03	9	22.61	807.66	1021.29	6.38	11.68
39	Olivera	03-abr	272	19.03251648	5271.40	12680.10	8163.40	20843.50	26215.90	101.00	7.00	1.884186	41.263982	5	42	7	8	0.55204612	0.97998383	9	19	0.72475101	23	0.88	1.52	0.95	0.62	0.1	8	5	13	2	2	19.8	12	118.81	1280.95	479.40	4.56	1.28
40	Corriol	10-abr	488	17.00	3740.00	2429.20	1171.00	3600.20	7419.20	79.00	6.00	1.901667	41.290167	3	22	1	3	0.411658159	2.561912895	8	9	1.213068794	13	1.75	3.48	1.34	0	1.11	13	5	0	4	0	0	0	0	908.82	82.80	2.74	0.48
