Rodanthidium_sticticum	Anthophora_acervorum	Pseudophilotes_panoptes	Sarcophagidae_4	Ichneumonidae_6	Microlepidoptera	Lasioglossum_mediterraneum	Paragus_tibialis	Chamaesyrphus	Lobonyx_aeneus	Oxythyrea_funesta	Clanoptilus_abdominalis	Aplocnemus_calidus	Sarcophagidae_5	Lasioglossum_interruptum	Adela_aldrovandella	Hylaeus_garrulus	Anaspis	Halictus_tetrazonius	Gonopteryx_cleopatra	Miridae_3	Mosca_8	Sarcophagidae_3	Dasytes_nigroaeneus	Lasioglossum_transitorium_planulum	Empididae	Mosca_mitjana_1	Clytra_quadripunctata	Eristalinus_aeneus	Himenopter_molt_petit	Hylaeus_hyalinatus	Anthrenus_2	Mosca_16	Andrena_angustior_impressa	Mordellistena_1	Dipter_elipse_1	Anthrenus_1	Andrena_nigroaenea	Bombus_terrestris	Sarcophagidae_1	Bombylius_discolor	Sarcophagidae_6	Merodon	Anthophora_dispar	Mosca_3	Dipter_blanc	Chrysotoxum_cautum	Attalus_pictus	Mosca_9	Nomada_flavoguttata	Bibio_sp	Coleòpter_vermell_gruixut	Conòpid_llarg_vermell	Moth_1	Andrena_djelfensis	Lasioglossum_griseolum	Gymnosoma	Mosca_14	Syrphidae_2	Butterfly	Bruchidius_1	Mosca_15	Meligethes_aeneus	Chalcididae_6	Dipter_2	Mosca_petita_3	Sarcophagidae_2	Megachile_pyrenaica	Anthaxia	Callophrys_rubi	Pieris_rapae	Andrena_lepida	Lasioglossum_bimaculatum	Scatophagidae??	Syrphidae_1	Andrena_nana	Mecoptera	Osmia_gallarum	Calliphoridae_3	Eumenes_coarctatus	Nomada_succinta	Escarabat_petit_1	Empididae_2	Microhoria_plumbea	Halictus_smaragdalus	Bombylius_cruciatus	Chalcididae_5	Dipter_molt_llarg,_mes_que_apis,_ales_fosques,_grisos	Escarabat_rodonet_com_una_marieta_però_blau	Oedemera_flavipes	Osmia_rufohirta	Ceratina_cyanea	Cryptocephalus_ramburi	Diodontus	Mosca_19	Pompilidae	Symphyta	Tachinidae_2	Andrena_limata	Dipter_gran_1	Halictus_quadricinctus	Mosca_prima_1	Mosca_taques_ales_1	Lasioglossum_subhirtum	Euodynerus_bidentoides	Braconidae	Gasteruption_1	Hylaeus_sp_1	Smaragdina_diversipes	Bombus_pascuorum	Escarabat_2	Heteropter_marró_sense_punts	Mosca_mitjana-gran_1	Syritta_pipiens	Malthinus	Polistes_gallicus	Andrena_vulpecula	Chrysura_dichroa	Leptidea_sinapis	Bruchidius_2	Eurydema_oleracea	Chrysotoxum_intermedium	Lasioglossum_albocinctum	Eucera_nigrilabris	Fals_conòpid	Chalcididae_4	Himenòpter_parasitoid	Meligethes_2	Lasioglossum_soror	Lasioglossum_ibericum	Nomada_1	Sphecodes	Tachinidae_1	Tropinota_squalida	Epysirphus_balteatus	Danacea_longiceps	Mosca_petita_2	Nomada_sheppardana	Miridae_2	Chalcididae_1	Chalcididae_3	Mosca_11	Andrena_fulva	Mosca_petita_1	Stratyomidae_1	Stratyomidae_2	Mosca_7	Eristalis_tenax	Lasioglossum_malachurum	Mosca_1	Scaeva_albomaculata	Mosca_normal_1	Musca_1	Platynochaetus_setosus	Stratyomidae_3	Mosca_17	Bombylius_sp_1	Bruchid_2	Coleoptera_3	Mosca_20	Pterophoridae	Anthrenus_3	Conophorus	Lucilia	Vespa_parasita_negra_potes_taronja	Mosca_18	Hadrodemus_m-flavum	Mosca_poc_peluda_1	Miridae_1
0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	4	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	0	0	0	0	0	4	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	5	3	0	0	0	0	0	1	0	0	0	0	0	0	0	4	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
