Parcela	Transecte	Ronda	Nom_definitiu	Codi_planta	Frequencia
1	1	1	Apis	ROF	1
1	1	1	Apis	ROF	2
1	1	1	Apis	ROF	1
1	1	1	Apis	TVUF	1
1	2	1	Apis	ROF	7
1	2	1	Anthophora_dispar	ROF	1
1	3	1	Apis	ROF	5
1	3	1	Apis	TVUH	1
1	3	1	Andrena_angustior_impressa	ROF	1
1	3	1	Apis	TVUH	1
1	4	1	Bombus_terrestris	ROF	1
1	4	1	Apis	ROF	4
1	4	1	Apis	TVUF	1
1	4	1	Bombus_terrestris	ROF	1
1	4	1	Andrena_djelfensis	CAL	1
1	4	1	Apis	TVUH	1
1	4	1	Apis	TVUH	2
1	4	1	Mosca_7	TVUH	1
1	4	1	Lasioglossum_transitorium_planulum	ROF	1
1	1	2	Apis	ROF	6
1	1	2	Lasioglossum_transitorium_planulum	ROF	1
1	1	2	Apis	TVUF	1
1	1	2	Pseudophilotes_panoptes	TVUF	1
1	1	2	Lasioglossum_malachurum	TVUF	1
1	1	2	Apis	TVUH	1
1	1	2	Apis	ROF	1
1	2	2	Apis	TVUH	1
1	2	2	Apis	ROF	2
1	3	2	Oxythyrea_funesta	CAL	1
1	3	2	Oxythyrea_funesta	CAL	1
1	3	2	Apis	ROF	5
1	3	2	Scaeva_albomaculata	ROF	1
1	3	2	Apis	TVUH	4
1	4	2	Lasioglossum_interruptum	CAL	1
1	4	2	Apis	ROF	4
1	4	2	Apis	TVUH	3
1	4	2	Eristalis_tenax	TVUH	1
1	4	2	Mosca_1	TVUH	1
1	1	3	Apis	ROF	2
1	1	3	Bombus_terrestris	ROF	1
1	1	3	Apis	TVUH	2
1	2	3	Bibio_sp	ROF	1
1	3	3	Bombus_terrestris	ROF	1
2	1	1	Apis	ROF	4
2	1	1	Bibio_sp	ROF	1
2	1	1	Apis	EFL	1
2	1	1	Pseudophilotes_panoptes	TVUH	1
2	2	1	Apis	ROF	7
2	2	1	Apis	TVUF	1
2	2	1	Apis	TVUH	1
2	2	1	Apis	TVUH	3
2	2	1	Bibio_sp	ROF	1
2	2	1	Apis	ROF	1
2	3	1	Apis	TVUF	1
2	3	1	Lasioglossum_subhirtum	ROF	1
2	3	1	Apis	ROF	9
2	3	1	Mosca_9	ROF	1
