Parcela	Nom_definitiu	Codi_planta	Frequencia
20	Ceratina_cyanea	AMO	1
20	Cryptocephalus_ramburi	AMO	1
20	Oxythyrea_funesta	AMO	2
34	Anaspis	AMO	1
34	Gonopteryx_cleopatra	AMO	1
38	Rodanthidium_sticticum	AZA	1
8	Andrena_djelfensis	BLA	1
15	Mordellistena_1	BLA	1
21	Oedemera_flavipes	BLA	2
24	Adela_aldrovandella	BLA	1
24	Andrena_djelfensis	BLA	1
24	Andrena_nana	BLA	1
24	Anthaxia	BLA	1
7	Anthophora_dispar	CSP	1
7	Apis	CSP	1
7	Oxythyrea_funesta	CSP	1
7	Smaragdina_diversipes	CSP	1
17	Smaragdina_diversipes	CSP	1
20	Anthophora_dispar	CSP	1
35	Anthophora_dispar	CSP	2
1	Andrena_djelfensis	CAL	1
1	Lasioglossum_interruptum	CAL	1
1	Oxythyrea_funesta	CAL	2
14	Apis	CAL	1
37	Andrena_djelfensis	CAL	18
37	Apis	CAL	4
37	Bruchid_2	CAL	1
37	Clanoptilus_abdominalis	CAL	1
37	Dasytes_nigroaeneus	CAL	4
37	Oxythyrea_funesta	CAL	1
5	Lobonyx_aeneus	CSA	1
6	Andrena_djelfensis	CSA	4
6	Oxythyrea_funesta	CSA	1
9	Lobonyx_aeneus	CSA	2
9	Oxythyrea_funesta	CSA	1
15	Andrena_nigroaenea	CSA	1
15	Lobonyx_aeneus	CSA	9
30	Anthrenus_1	CSA	1
30	Coleòpter_vermell_gruixut	CSA	1
32	Apis	CSA	3
32	Clanoptilus_abdominalis	CSA	2
32	Lobonyx_aeneus	CSA	1
32	Oxythyrea_funesta	CSA	1
33	Anthrenus_1	CSA	3
33	Anthrenus_2	CSA	1
33	Apis	CSA	4
33	Dasytes_nigroaeneus	CSA	1
33	Dipter_elipse_1	CSA	2
33	Empididae	CSA	1
33	Lasioglossum_transitorium_planulum	CSA	2
33	Lobonyx_aeneus	CSA	2
33	Mordellistena_1	CSA	2
37	Andrena_djelfensis	CSA	1
37	Oxythyrea_funesta	CSA	1
38	Andrena_nana	CSA	1
38	Anthrenus_3	CSA	1
38	Apis	CSA	2
38	Clanoptilus_abdominalis	CSA	2
38	Lobonyx_aeneus	CSA	1
39	Andrena_nigroaenea	CSA	2
39	Apis	CSA	1
39	Lasioglossum_mediterraneum	CSA	2
39	Oxythyrea_funesta	CSA	3
39	Tropinota_squalida	CSA	4
34	Adela_aldrovandella	DPE	1
34	Hylaeus_garrulus	DPE	1
3	Apis	EMU	1
15	Anthrenus_1	ECH	1
15	Oxythyrea_funesta	ECH	2
19	Mosca_9	ECH	1
24	Mosca_15	ECH	4
24	Scatophagidae??	ECH	1
24	Syrphidae_1	ECH	1
29	Mosca_14	ECH	1
29	Mosca_15	ECH	4
29	Mosca_9	ECH	1
2	Andrena_djelfensis	EFL	4
2	Apis	EFL	1
5	Apis	EFL	1
5	Chrysotoxum_cautum	EFL	1
9	Gymnosoma	EFL	1
9	Chalcididae_4	EFL	1
14	Andrena_djelfensis	EFL	1
14	Bruchidius_2	EFL	1
14	Dasytes_nigroaeneus	EFL	1
14	Eurydema_oleracea	EFL	2
14	Malthinus	EFL	2
16	Polistes_gallicus	EFL	1
16	Chrysotoxum_cautum	EFL	1
17	Anaspis	EFL	1
17	Andrena_djelfensis	EFL	1
17	Escarabat_2	EFL	1
17	Heteropter_marró_sense_punts	EFL	1
17	Malthinus	EFL	2
17	Syritta_pipiens	EFL	1
19	Andrena_djelfensis	EFL	1
19	Andrena_limata	EFL	1
19	Anthrenus_1	EFL	3
19	Chamaesyrphus	EFL	1
19	Chrysotoxum_cautum	EFL	1
19	Dipter_gran_1	EFL	1
19	Mordellistena_1	EFL	1
19	Mosca_taques_ales_1	EFL	1
19	Sarcophagidae_4	EFL	1
24	Andrena_djelfensis	EFL	3
24	Andrena_lepida	EFL	1
24	Empididae	EFL	1
24	Sarcophagidae_1	EFL	1
25	Anthrenus_2	EFL	1
28	Dipter_2	EFL	1
28	Chalcididae_6	EFL	1
29	Andrena_djelfensis	EFL	2
29	Bruchidius_1	EFL	3
29	Dasytes_nigroaeneus	EFL	1
29	Syrphidae_2	EFL	1
30	Andrena_djelfensis	EFL	1
30	Anthrenus_1	EFL	2
30	Gymnosoma	EFL	2
35	Empididae	EFL	1
35	Meligethes_aeneus	EFL	1
37	Chrysotoxum_cautum	EFL	1
37	Coleoptera_3	EFL	1
37	Fals_conòpid	EFL	2
37	Anaspis	ESE	1
37	Chrysotoxum_cautum	ESE	2
37	Clanoptilus_abdominalis	ESE	1
8	Osmia_rufohirta	FAB	1
18	Lasioglossum_transitorium_planulum	FLA	1
21	Anthophora_acervorum	FLA	1
21	Chamaesyrphus	FLA	1
22	Escarabat_petit_1	FLA	1
38	Lasioglossum_griseolum	FLA	1
38	Rodanthidium_sticticum	FLA	1
39	Apis	FLA	1
39	Lasioglossum_griseolum	FLA	1
8	Chamaesyrphus	HOE	2
8	Hylaeus_hyalinatus	HOE	1
8	Rodanthidium_sticticum	HOE	1
11	Lasioglossum_griseolum	HOE	1
16	Andrena_vulpecula	HOE	1
17	Dasytes_nigroaeneus	HOE	1
17	Rodanthidium_sticticum	HOE	1
19	Andrena_djelfensis	HOE	1
20	Lasioglossum_transitorium_planulum	HOE	1
20	Microhoria_plumbea	HOE	1
20	Osmia_rufohirta	HOE	1
21	Chamaesyrphus	HOE	2
21	Escarabat_rodonet_com_una_marieta_però_blau	HOE	1
21	Hylaeus_hyalinatus	HOE	1
21	Halictus_smaragdalus	HOE	1
21	Microhoria_plumbea	HOE	1
24	Anthaxia	HOE	1
24	Empididae	HOE	1
24	Lasioglossum_bimaculatum	HOE	1
25	Apis	HOE	1
29	Andrena_djelfensis	HOE	1
29	Empididae	HOE	1
34	Anthophora_acervorum	HOE	1
34	Chamaesyrphus	HOE	1
34	Miridae_3	HOE	1
34	Pseudophilotes_panoptes	HOE	1
35	Anaspis	HOE	1
35	Andrena_vulpecula	HOE	2
35	Clytra_quadripunctata	HOE	1
35	Himenopter_molt_petit	HOE	1
35	Lasioglossum_transitorium_planulum	HOE	1
35	Paragus_tibialis	HOE	1
35	Rodanthidium_sticticum	HOE	1
27	Megachile_pyrenaica	LIN	2
15	Rodanthidium_sticticum	OLA	1
16	Lasioglossum_interruptum	OLA	1
20	Rodanthidium_sticticum	OLA	1
22	Lasioglossum_griseolum	OLA	1
22	Rodanthidium_sticticum	OLA	1
31	Dipter_blanc	OLA	1
34	Rodanthidium_sticticum	OLA	3
38	Rodanthidium_sticticum	OLA	1
21	Oedemera_flavipes	POT	1
13	Apis	PRUNUS	3
13	Oxythyrea_funesta	PRUNUS	1
9	Oedemera_flavipes	RGR	1
9	Oxythyrea_funesta	RGR	2
1	Andrena_angustior_impressa	ROF	1
1	Anthophora_dispar	ROF	1
1	Apis	ROF	40
1	Bibio_sp	ROF	1
1	Bombus_terrestris	ROF	4
1	Lasioglossum_transitorium_planulum	ROF	2
1	Scaeva_albomaculata	ROF	1
2	Andrena_fulva	ROF	1
2	Anthophora_acervorum	ROF	2
2	Apis	ROF	161
2	Bibio_sp	ROF	2
2	Bombus_terrestris	ROF	2
2	Bombylius_discolor	ROF	2
2	Lasioglossum_subhirtum	ROF	3
2	Mosca_9	ROF	4
2	Mosca_petita_1	ROF	1
2	Oxythyrea_funesta	ROF	1
2	Stratyomidae_1	ROF	1
3	Andrena_angustior_impressa	ROF	1
3	Apis	ROF	120
3	Aplocnemus_calidus	ROF	1
3	Bibio_sp	ROF	52
3	Bombus_terrestris	ROF	1
3	Lasioglossum_griseolum	ROF	1
3	Lasioglossum_interruptum	ROF	1
3	Lasioglossum_subhirtum	ROF	1
3	Lasioglossum_transitorium_planulum	ROF	5
3	Mosca_11	ROF	3
3	Megachile_pyrenaica	ROF	1
3	Oxythyrea_funesta	ROF	1
3	Chalcididae_3	ROF	1
3	Syrphidae_1	ROF	1
4	Andrena_nigroaenea	ROF	2
4	Apis	ROF	106
4	Bibio_sp	ROF	16
4	Chrysotoxum_cautum	ROF	1
4	Lasioglossum_transitorium_planulum	ROF	2
4	Miridae_2	ROF	1
5	Andrena_angustior_impressa	ROF	1
5	Andrena_nigroaenea	ROF	1
5	Apis	ROF	60
5	Bibio_sp	ROF	4
5	Bombus_terrestris	ROF	1
5	Danacea_longiceps	ROF	1
5	Lasioglossum_transitorium_planulum	ROF	3
5	Lobonyx_aeneus	ROF	2
5	Oxythyrea_funesta	ROF	1
6	Andrena_angustior_impressa	ROF	2
6	Andrena_nigroaenea	ROF	1
6	Apis	ROF	19
6	Epysirphus_balteatus	ROF	1
7	Apis	ROF	19
7	Bibio_sp	ROF	1
7	Dasytes_nigroaeneus	ROF	1
7	Empididae_2	ROF	1
7	Lasioglossum_albocinctum	ROF	1
7	Malthinus	ROF	2
7	Tachinidae_1	ROF	1
7	Tropinota_squalida	ROF	1
8	Andrena_angustior_impressa	ROF	1
8	Andrena_nigroaenea	ROF	1
8	Apis	ROF	24
8	Ceratina_cyanea	ROF	1
8	Sphecodes	ROF	1
8	Lasioglossum_ibericum	ROF	1
8	Lasioglossum_transitorium_planulum	ROF	1
8	Oxythyrea_funesta	ROF	3
8	Rodanthidium_sticticum	ROF	1
9	Andrena_djelfensis	ROF	1
9	Apis	ROF	69
9	Empididae_2	ROF	1
9	Himenòpter_parasitoid	ROF	1
9	Lasioglossum_soror	ROF	1
9	Lasioglossum_transitorium_planulum	ROF	2
9	Lobonyx_aeneus	ROF	2
9	Meligethes_2	ROF	1
10	Andrena_nigroaenea	ROF	1
10	Apis	ROF	33
10	Chrysotoxum_cautum	ROF	1
10	Lasioglossum_transitorium_planulum	ROF	2
11	Anthophora_dispar	ROF	1
11	Apis	ROF	14
11	Oxythyrea_funesta	ROF	1
11	Rodanthidium_sticticum	ROF	1
12	Andrena_angustior_impressa	ROF	2
12	Apis	ROF	27
12	Bibio_sp	ROF	16
12	Eucera_nigrilabris	ROF	1
12	Lasioglossum_albocinctum	ROF	1
12	Lasioglossum_interruptum	ROF	1
12	Lasioglossum_subhirtum	ROF	1
12	Lasioglossum_transitorium_planulum	ROF	3
13	Andrena_nigroaenea	ROF	1
13	Anthophora_dispar	ROF	2
13	Apis	ROF	20
13	Chamaesyrphus	ROF	1
14	Andrena_djelfensis	ROF	1
14	Andrena_limata	ROF	1
14	Apis	ROF	137
14	Bibio_sp	ROF	3
14	Bombus_terrestris	ROF	1
14	Chrysotoxum_cautum	ROF	1
14	Lasioglossum_mediterraneum	ROF	1
14	Lasioglossum_transitorium_planulum	ROF	5
14	Oxythyrea_funesta	ROF	1
14	Rodanthidium_sticticum	ROF	1
14	Scatophagidae??	ROF	1
15	Andrena_nigroaenea	ROF	1
15	Apis	ROF	47
15	Halictus_smaragdalus	ROF	1
15	Leptidea_sinapis	ROF	1
15	Lobonyx_aeneus	ROF	12
15	Oxythyrea_funesta	ROF	2
16	Andrena_nigroaenea	ROF	1
16	Apis	ROF	19
16	Lasioglossum_interruptum	ROF	1
16	Oxythyrea_funesta	ROF	1
17	Adela_aldrovandella	ROF	2
17	Andrena_angustior_impressa	ROF	1
17	Apis	ROF	59
17	Bombus_pascuorum	ROF	1
17	Chamaesyrphus	ROF	1
17	Malthinus	ROF	1
18	Adela_aldrovandella	ROF	1
18	Andrena_angustior_impressa	ROF	2
18	Andrena_nigroaenea	ROF	1
18	Apis	ROF	58
18	Halictus_smaragdalus	ROF	1
18	Lasioglossum_transitorium_planulum	ROF	2
19	Apis	ROF	126
19	Chrysotoxum_cautum	ROF	1
19	Empididae_2	ROF	1
19	Lasioglossum_subhirtum	ROF	3
19	Lasioglossum_transitorium_planulum	ROF	1
19	Mosca_14	ROF	1
19	Mosca_9	ROF	2
19	Mosca_prima_1	ROF	1
19	Sarcophagidae_4	ROF	1
20	Adela_aldrovandella	ROF	3
20	Apis	ROF	133
20	Bombus_terrestris	ROF	1
20	Symphyta	ROF	1
20	Pompilidae	ROF	1
20	Clanoptilus_abdominalis	ROF	1
