Andrena_angustior_impressa	Andrena_djelfensis	Andrena_fulva	Andrena_lepida	Andrena_limata	Andrena_nana	Andrena_nigroaenea	Andrena_vulpecula	Anthophora_acervorum	Anthophora_dispar	Apis	Bombus_pascuorum	Bombus_terrestris	Ceratina_cyanea	Eucera_nigrilabris	Eumenes_coarctatus	Euodynerus_bidentoides	Halictus_quadricinctus	Halictus_smaragdalus	Halictus_tetrazonius	Hylaeus_garrulus	Hylaeus_hyalinatus	Hylaeus_sp_1	Lasioglossum_albocinctum	Lasioglossum_bimaculatum	Lasioglossum_griseolum	Lasioglossum_ibericum	Lasioglossum_interruptum	Lasioglossum_malachurum	Lasioglossum_mediterraneum	Lasioglossum_soror	Lasioglossum_subhirtum	Lasioglossum_transitorium_planulum	Megachile_pyrenaica	Nomada_1	Nomada_flavoguttata	Nomada_sheppardana	Nomada_succinta	Osmia_gallarum	Osmia_rufohirta	Polistes_gallicus	Rodanthidium_sticticum
1	1	0	0	0	0	0	0	0	1	59	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0
1	4	1	0	0	0	0	0	2	0	178	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	122	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	5	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	2	0	0	0	119	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	1	0	0	0	65	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0
2	4	0	0	0	0	1	0	0	0	28	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	0	0	1	0	0	0	32	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	2
0	1	0	0	0	0	0	0	0	0	82	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0
0	3	0	0	0	0	1	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	0	0	38	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	10	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	1	0	0	2	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	3	0	0	1	0	1	0	0	0	143	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	3	0	0	0	55	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	1	0	0	0	0	2	1	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	1	0	0	0	0	0	0	0	0	59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
2	0	0	0	0	0	1	0	0	0	58	0	0	0	0	0	1	0	1	0	1	4	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0	2	0	0	1	0	2	0	0	0	143	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	135	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1
1	1	0	0	0	0	0	0	1	0	37	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	25	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0	0	0	0	0	0	0	0	0	0	94	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1	4	0	1	0	1	3	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	1	60	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0	3	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	2	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
1	0	0	0	0	0	1	0	0	2	106	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	3	0	21	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0	0	0	0	2	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	1	0	0	2	0
0	23	0	1	0	2	0	0	0	1	81	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0
2	0	0	0	0	2	0	0	0	0	83	0	0	0	0	0	0	0	0	1	0	2	0	0	0	6	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	3
0	0	0	0	0	0	2	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
