Plot	Species	Plant	X	Y
5	ROF	1	36.64455962	6.797507837
5	ROF	2	25.32944753	6.945714331
5	ROF	3	7.161171411	5.269222893
5	ROF	4	-0.717087541	5.121678035
5	ROF	5	-0.069188235	12.98862616
5	ROF	6	10.90212511	14.99621922
5	ROF	7	13.77501221	17.42744845
5	ROF	8	33.88875061	14.96351549
5	ROF	9	25.34431859	26.84073473
5	ROF	10	-2.201420942	34.31192993
5	TVUF	1	23.15940705	3.010491659
5	TVUF	2	3.280454954	26.18987382
5	TVUF	3	4.019534019	24.14196821
5	TVUF	4	19.38997149	24.53540541
5	TVUF	5	-0.06906221	15.29282125
5	TVUF	6	3.42979568	-3.338946738
5	TVUF	7	25.01715528	3.150285921
5	TVUF	8	27.30036705	-5.747302257
5	TVUF	9	25.93550623	-6.180106807
5	TVUF	10	27.56376124	4.020431954
5	TVUH	1	2.376596985	24.50270168
5	TVUH	2	26.85165173	25.16608642
5	TVUH	3	28.50479686	25.44515509
5	TVUH	4	7.571700877	14.18472251
5	TVUH	5	8.754706281	13.66401487
5	TVUH	6	24.55961814	-1.229981569
5	TVUH	7	23.43830243	-3.805778289
5	TVUH	8	24.32457978	-8.553820949
5	TVUH	9	22.63810079	-9.29249043
5	TVUH	10	23.37434427	-12.18478552
1	ROF	1	37.05685532	24.28076769
1	ROF	2	32.27550868	24.8259632
1	ROF	3	15.31929563	24.28308939
1	ROF	4	-4.133286821	24.25093733
1	ROF	5	-0.127717081	15.23872201
1	ROF	6	11.23445969	15.40599011
1	ROF	7	23.53502634	12.55522105
1	ROF	8	26.38743701	4.152065641
1	ROF	9	20.27741998	4.188087205
1	ROF	10	4.002333428	4.412448077
1	TVUF	1	6.784717805	9.097608236
1	TVUF	2	4.716104465	5.070193387
1	TVUF	3	12.58381433	16.33716864
1	TVUF	4	17.94952643	15.30615691
1	TVUF	5	24.93855404	16.02022109
1	TVUF	6	36.18609969	23.91678808
1	TVUF	7	34.44946633	26.68970976
1	TVUF	8	16.93562259	28.97401863
1	TVUF	9	3.405022733	28.83823422
1	TVUF	10	NA	NA
1	TVUH	1	24.46727191	2.704343518
1	TVUH	2	19.27575785	2.064890408
1	TVUH	3	0.864658238	4.927549402
1	TVUH	4	4.030991209	14.48012336
1	TVUH	5	9.484693474	14.29192476
1	TVUH	6	35.34329828	23.76939516
1	TVUH	7	33.23575539	26.6484116
1	TVUH	8	24.96585163	23.84245842
1	TVUH	9	15.63091968	26.85859601
1	TVUH	10	3.164222332	21.9389791
2	ROF	1	30.43442781	26.62951807
2	ROF	2	26.53604835	24.41566265
2	ROF	3	29.66211171	17.20481928
2	ROF	4	27.97151545	14.42168675
2	ROF	5	20.93937411	11.62048193
2	ROF	6	1.110435352	14.3313253
2	ROF	7	1.299819085	3.21686747
2	ROF	8	18.77947573	4.879518072
2	ROF	9	27.97782825	2.801204819
2	ROF	10	35.54162978	6.65060241
2	TVUF	1	29.02898495	23.61144578
2	TVUF	2	15.4344663	26.43975904
2	TVUF	3	5.840101621	24.75903614
2	TVUF	4	32.46375919	14.78313253
