plot	d_rof	d_tvu	d_mitjana
1	0.642	1.335	1.178
2	0.351	1.910	1.390
3	0.085	2.300	1.192
4	0.168	1.467	0.817
5	0.212	0.926	1.555
6	1.098	1.386	1.120
7	0.778	0.778	1.134
8	0.737	0.838	1.840
9	0.664	0.624	1.407
10	0.560	0.847	0.703
11	1.098	0.587	1.295
12	0.133	1.105	0.619
13	0.916	0.693	1.304
14	0.433	1.144	0.936
15	0.263	1.663	1.957
16	1.137	0.436	1.852
17	0.854	1.615	1.710
18	0.771	0.636	1.047
19	0.874	0.905	1.647
20	0.295	2.022	2.290
21	0.510	1.183	1.717
22	1.343	0.402	1.808
23	0.588	0.811	0.699
24	0.522	0.995	1.349
25	0.182	NA	0.987
26	0.693	0.693	0.693
27	1.609	0.916	1.147
28	1.040	0.520	0.981
29	NA	0.736	1.180
30	1.091	0.784	1.250
31	0.128	1.496	1.627
32	1.447	0.636	1.177
33	2.441	0.909	1.230
34	1.922	0.366	1.970
35	1.946	0.864	1.504
36	1.569	0.091	0.830
37	1.787	0.695	1.810
38	2.346	0.215	2.143
39	0.618	2.251	1.534
40	0.588	0.811	0.699
