Parcela	Nom_definitiu	forager	Plant	Frequencia
19	Andrena_limata	central_place	EFL	1
14	Andrena_limata	central_place	ROF	1
15	Andrena_nigroaenea	central_place	CSA	1
39	Andrena_nigroaenea	central_place	CSA	2
4	Andrena_nigroaenea	central_place	ROF	2
5	Andrena_nigroaenea	central_place	ROF	1
6	Andrena_nigroaenea	central_place	ROF	1
8	Andrena_nigroaenea	central_place	ROF	1
10	Andrena_nigroaenea	central_place	ROF	1
13	Andrena_nigroaenea	central_place	ROF	1
15	Andrena_nigroaenea	central_place	ROF	1
16	Andrena_nigroaenea	central_place	ROF	1
18	Andrena_nigroaenea	central_place	ROF	1
24	Andrena_nigroaenea	central_place	ROF	3
14	Andrena_nigroaenea	central_place	TVU	1
16	Andrena_nigroaenea	central_place	TVU	1
19	Andrena_nigroaenea	central_place	TVU	2
11	Andrena_nigroaenea	central_place	TVU	1
15	Andrena_nigroaenea	central_place	TVU	1
26	Andrena_nigroaenea	central_place	TVU	1
32	Andrena_nigroaenea	central_place	TVU	1
21	Anthophora_acervorum	central_place	FLA	1
34	Anthophora_acervorum	central_place	HOE	1
2	Anthophora_acervorum	central_place	ROF	2
34	Anthophora_acervorum	central_place	ROF	1
34	Anthophora_acervorum	central_place	TVU	1
7	Anthophora_dispar	central_place	CSP	1
20	Anthophora_dispar	central_place	CSP	1
35	Anthophora_dispar	central_place	CSP	2
1	Anthophora_dispar	central_place	ROF	1
11	Anthophora_dispar	central_place	ROF	1
13	Anthophora_dispar	central_place	ROF	2
25	Anthophora_dispar	central_place	ROF	1
32	Anthophora_dispar	central_place	ROF	2
35	Anthophora_dispar	central_place	ROF	1
37	Anthophora_dispar	central_place	ROF	1
17	Bombus_pascuorum	central_place	ROF	1
1	Bombus_terrestris	central_place	ROF	4
2	Bombus_terrestris	central_place	ROF	2
3	Bombus_terrestris	central_place	ROF	1
5	Bombus_terrestris	central_place	ROF	1
14	Bombus_terrestris	central_place	ROF	1
20	Bombus_terrestris	central_place	ROF	1
23	Bombus_terrestris	central_place	ROF	1
25	Bombus_terrestris	central_place	ROF	1
32	Bombus_terrestris	central_place	ROF	1
37	Bombus_terrestris	central_place	ROF	3
12	Eucera_nigrilabris	central_place	ROF	1
34	Halictus_tetrazonius	central_place	TVU	1
36	Halictus_tetrazonius	central_place	TVU	1
38	Halictus_tetrazonius	central_place	TVU	1
7	Lasioglossum_albocinctum	central_place	ROF	1
12	Lasioglossum_albocinctum	central_place	ROF	1
27	Megachile_pyrenaica	central_place	LIN	2
3	Megachile_pyrenaica	central_place	ROF	1
38	Rodanthidium_sticticum	central_place	AZA	1
38	Rodanthidium_sticticum	central_place	FLA	1
8	Rodanthidium_sticticum	central_place	HOE	1
17	Rodanthidium_sticticum	central_place	HOE	1
35	Rodanthidium_sticticum	central_place	HOE	1
15	Rodanthidium_sticticum	central_place	OLA	1
20	Rodanthidium_sticticum	central_place	OLA	1
22	Rodanthidium_sticticum	central_place	OLA	1
34	Rodanthidium_sticticum	central_place	OLA	3
38	Rodanthidium_sticticum	central_place	OLA	1
8	Rodanthidium_sticticum	central_place	ROF	1
11	Rodanthidium_sticticum	central_place	ROF	1
14	Rodanthidium_sticticum	central_place	ROF	1
31	Rodanthidium_sticticum	central_place	ROF	1
39	Rodanthidium_sticticum	central_place	ROF	1
34	Rodanthidium_sticticum	central_place	TVU	2
2	Andrena_fulva	central_place	ROF	1
19	Halictus_quadricinctus	central_place	TVU	1
8	Andrena_djelfensis	central_place	BLA	1
24	Andrena_djelfensis	central_place	BLA	1
1	Andrena_djelfensis	central_place	CAL	1
37	Andrena_djelfensis	central_place	CAL	18
6	Andrena_djelfensis	central_place	CSA	4
37	Andrena_djelfensis	central_place	CSA	1
