POTENTILLA	CAL	OTHERS	RGR	EMU	Hippocrepis	CSA	UmBELIFERA	PRU	ESE	FAB	API	AMO	DPE	FUMANA	HOE	OLA	BLA	ECH	PRUNUS	CSP	EFL
0	10	13	8	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	385
0	0	11	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	58	0	0	1325
0	0	0	0	83	0	0	0	0	0	0	70	3	0	0	0	0	0	0	0	0	0
0	0	17	0	0	0	0	0	0	0	0	0	0	0	11	0	0	110	0	0	0	0
0	0	30	0	0	0	4	0	21	0	0	78	0	52	19	0	8	0	0	0	0	296
0	0	0	0	0	0	4	0	0	0	0	5	0	0	2	0	2	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	52	0	0	1	0	0	0	0	0	2010	0
0	0	0	0	0	0	0	0	0	0	175	6	0	0	0	57	10	121	0	0	0	0
0	0	27	24	0	0	5	0	22	0	56	35	0	0	6	0	45	22	0	0	0	68
0	0	7	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	81
0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	50	17	0	0	0	0	0
0	0	19	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	5	48
0	0	7	0	0	0	0	0	3	0	0	0	0	0	13	0	0	2	0	966	0	0
0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	15	0	0	0	291
0	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0	116	203	109	0	0	0
0	0	0	0	0	0	0	123	4	0	2	9	0	0	4	8	80	0	0	0	0	144
0	0	18	0	0	0	0	0	6	0	0	0	4	0	0	117	17	0	0	0	93	261
0	0	39	0	0	0	0	0	1	0	0	0	45	0	1	0	0	0	0	0	0	38
6	0	7	2	0	0	1	0	10	0	0	0	0	0	0	74	0	0	158	0	6	2187
0	0	11	0	0	0	0	0	0	0	0	0	191	0	6	35	158	7	0	0	392	0
0	0	45	0	0	53	2	0	11	0	3	0	22	13	3	49	0	126	0	0	0	0
0	0	8	0	0	0	0	0	0	0	0	0	5	0	36	0	89	0	0	0	0	0
0	0	11	0	0	0	0	0	0	0	0	39	10	0	8	0	27	0	0	0	0	0
0	0	0	0	0	0	0	0	3	0	10	0	4	0	0	128	63	154	338	0	0	1294
0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	40	0	0	0	0	0	80
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
0	0	31	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	286	0	0	264
0	5	5	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	260
0	0	33	1	0	20	0	0	0	0	4	0	0	0	0	15	0	1	0	0	0	653
0	0	0	2	0	0	1	0	14	0	0	8	3	0	2	0	0	0	0	0	271	494
0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	26	5	0	0	0	0
0	0	2	5	0	0	1	0	0	0	0	0	0	0	71	0	0	0	0	0	0	129
0	0	2	35	0	0	65	0	11	0	0	0	0	0	16	0	0	0	0	0	0	8
0	0	64	0	0	0	0	0	0	0	0	0	33	195	43	49	15	0	0	0	0	0
0	0	11	0	0	38	0	0	18	1	22	0	0	0	0	65	0	0	0	0	252	59
0	0	1	0	0	0	0	0	3	0	0	0	0	0	58	0	0	0	0	0	0	0
0	25	11	0	0	0	0	0	0	153	0	0	0	20	1	0	0	0	0	0	0	1116
0	0	12	0	0	0	9	0	12	0	0	0	2	0	296	0	64	3	0	0	0	0
0	0	0	0	0	0	20	0	3	0	0	0	0	0	70	0	8	0	0	0	0	0
10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	67
