Plot	Species	Transect	Flors
1	ROF	1	3408
1	TVUF	1	4282
1	TVUH	1	4959
1	ROF	2	10396
1	TVUF	2	2460
1	TVUH	2	3806
1	ROF	3	858
1	TVUF	3	1049
1	TVUH	3	6443
1	ROF	4	2444
1	TVUF	4	1917
1	TVUH	4	4638
2	ROF	1	3900
2	TVUF	1	600
2	TVUH	1	5777
2	ROF	2	3948
2	TVUF	2	4585
2	TVUH	2	7205
2	ROF	3	3288
2	TVUF	3	2220
2	TVUH	3	2589
2	ROF	4	7101
2	TVUF	4	533
2	TVUH	4	1084
3	ROF	1	3707
3	TVUF	1	0
3	TVUH	1	0
3	ROF	2	11354
3	TVUF	2	828
3	TVUH	2	2031
3	ROF	3	8856
3	TVUF	3	1485
3	TVUH	3	195
3	ROF	4	6090
3	TVUF	4	0
3	TVUH	4	0
4	ROF	1	19284
4	TVUF	1	2038
4	TVUH	1	1013
4	ROF	2	5637
4	TVUF	2	13349
4	TVUH	2	2320
4	ROF	3	19995
4	TVUF	3	20762
4	TVUH	3	8651
4	ROF	4	6996
4	TVUF	4	948
4	TVUH	4	325
5	ROF	1	11836
5	TVUF	1	547
5	TVUH	1	539
5	ROF	2	4865
5	TVUF	2	0
5	TVUH	2	0
5	ROF	3	6012
5	TVUF	3	3779
5	TVUH	3	896
5	ROF	4	3480
5	TVUF	4	0
5	TVUH	4	68
6	ROF	1	3069
6	TVUF	1	3375
6	TVUH	1	3209
6	ROF	2	1577
6	TVUF	2	2724
6	TVUH	2	752
6	ROF	3	2845
6	TVUF	3	0
6	TVUH	3	1743
6	ROF	4	957
6	TVUF	4	0
6	TVUH	4	0
7	ROF	1	2716
7	TVUF	1	7990
7	TVUH	1	0
7	ROF	2	2644
7	TVUF	2	56
7	TVUH	2	0
7	ROF	3	1894
7	TVUF	3	0
7	TVUH	3	0
7	ROF	4	729
7	TVUF	4	0
7	TVUH	4	0
8	ROF	1	2428
8	TVUF	1	1805
8	TVUH	1	0
8	ROF	2	1676
8	TVUF	2	0
8	TVUH	2	0
8	ROF	3	595
8	TVUF	3	0
8	TVUH	3	0
8	ROF	4	0
8	TVUF	4	0
8	TVUH	4	0
8	TVUH	FT	5445
9	ROF	1	1723
9	TVUF	1	854
9	TVUH	1	5156
9	ROF	2	1384
9	TVUF	2	6405
9	TVUH	2	7273
9	ROF	3	2258
9	TVUF	3	228
9	TVUH	3	146
9	ROF	4	2656
9	TVUF	4	0
9	TVUH	4	0
10	ROF	1	12723
10	TVUF	1	657
10	TVUH	1	0
10	ROF	2	5914
10	TVUF	2	646
10	TVUH	2	563
10	ROF	3	3636
10	TVUF	3	3130
10	TVUH	3	1584
10	ROF	4	1353
10	TVUF	4	0
10	TVUH	4	15
11	ROF	1	563
11	TVUF	1	2132
11	TVUH	1	751
11	ROF	2	969
11	TVUF	2	173
11	TVUH	2	0
11	ROF	3	212
11	TVUF	3	50
11	TVUH	3	0
11	ROF	4	280
11	TVUF	4	0
11	TVUH	4	0
12	ROF	1	0
12	TVUF	1	1193
12	TVUH	1	489
12	ROF	2	0
12	TVUF	2	6012
12	TVUH	2	3568
12	ROF	3	2433
12	TVUF	3	10
12	TVUH	3	846
12	ROF	4	19876
12	TVUF	4	77
12	TVUH	4	15
13	ROF	1	1430
13	TVUF	1	1855
13	TVUH	1	3191
13	ROF	2	542
13	TVUF	2	0
13	TVUH	2	0
13	ROF	3	2998
13	TVUF	3	616
13	TVUH	3	590
13	ROF	4	855
13	TVUF	4	762
13	TVUH	4	0
14	ROF	1	5370
14	TVUF	1	1364
14	TVUH	1	156
14	ROF	2	1733
14	TVUF	2	557
14	TVUH	2	11
14	ROF	3	5528
14	TVUF	3	23
14	TVUH	3	0
14	ROF	4	2848
14	TVUF	4	33
14	TVUH	4	0
15	ROF	1	3087
15	TVUF	1	2460
15	TVUH	1	384
15	ROF	2	2758
15	TVUF	2	0
15	TVUH	2	0
15	ROF	3	228
15	TVUF	3	1347
15	TVUH	3	2206
15	ROF	4	439
15	TVUF	4	493
15	TVUH	4	3405
16	ROF	1	948
16	TVUF	1	5368
16	TVUH	1	7224
16	ROF	2	250
16	TVUF	2	5659
16	TVUH	2	14182
16	ROF	3	2276
16	TVUF	3	324
16	TVUH	3	477
16	ROF	4	1773
16	TVUF	4	8021
16	TVUH	4	4293
17	ROF	1	998
17	TVUF	1	76
17	TVUH	1	0
17	ROF	2	4110
17	TVUF	2	45
17	TVUH	2	45
17	ROF	3	3277
17	TVUF	3	0
17	TVUH	3	140
17	ROF	4	1676
17	TVUF	4	966
17	TVUH	4	146
18	ROF	1	2228
18	TVUF	1	1918
18	TVUH	1	666
18	ROF	2	1592
18	TVUF	2	45
18	TVUH	2	128
18	ROF	3	425
18	TVUF	3	3863
18	TVUH	3	922
18	ROF	4	20
18	TVUF	4	88
18	TVUH	4	0
19	ROF	1	7956
19	TVUF	1	1584
19	TVUH	1	1269
19	ROF	2	2602
19	TVUF	2	4874
19	TVUH	2	2729
19	ROF	3	6278
19	TVUF	3	278
19	TVUH	3	34
19	ROF	4	858
19	TVUF	4	446
19	TVUH	4	114
20	ROF	1	7394
20	TVUF	1	0
20	TVUH	1	0
20	ROF	2	3798
20	TVUF	2	1485
20	TVUH	2	738
20	ROF	3	1478
20	TVUF	3	741
20	TVUH	3	111
20	ROF	4	10070
20	TVUF	4	17
20	TVUH	4	19
21	ROF	1	103
21	TVUF	1	237
21	TVUH	1	0
21	ROF	2	0
21	TVUF	2	316
21	TVUH	2	0
21	ROF	3	718
21	TVUF	3	597
21	TVUH	3	395
21	ROF	4	4412
21	TVUF	4	832
21	TVUH	4	904
22	ROF	1	609
22	TVUF	1	2391
22	TVUH	1	317
22	ROF	2	2327
22	TVUF	2	78
22	TVUH	2	44
22	ROF	3	35
22	TVUF	3	0
22	TVUH	3	340
22	ROF	4	285
22	TVUF	4	809
22	TVUH	4	0
23	ROF	1	8724
23	TVUF	1	1318
23	TVUH	1	0
23	ROF	2	8927
23	TVUF	2	365
23	TVUH	2	310
23	ROF	3	400
23	TVUF	3	3230
23	TVUH	3	360
23	ROF	4	0
23	TVUF	4	0
23	TVUH	4	0
24	ROF	1	4531
24	TVUF	1	741
24	TVUH	1	164
24	ROF	2	4624
24	TVUF	2	118
24	TVUH	2	224
24	ROF	3	3924
24	TVUF	3	298
24	TVUH	3	0
24	ROF	4	6171
24	TVUF	4	658
24	TVUH	4	337
25	ROF	1	814
25	TVUF	1	17
25	TVUH	1	0
25	ROF	2	146
25	TVUF	2	645
25	TVUH	2	0
25	ROF	3	3424
25	TVUF	3	0
25	TVUH	3	0
25	ROF	4	2807
25	TVUF	4	0
25	TVUH	4	147
26	ROF	1	0
26	TVUF	1	1493
26	TVUH	1	442
26	ROF	2	0
26	TVUF	2	82
26	TVUH	2	8
26	ROF	3	0
26	TVUF	3	587
26	TVUH	3	385
26	ROF	4	1186
26	TVUF	4	57
26	TVUH	4	0
27	ROF	1	0
27	TVUF	1	415
27	TVUH	1	898
27	ROF	2	3530
27	TVUF	2	480
27	TVUH	2	2618
27	ROF	3	2239
27	TVUF	3	1022
27	TVUH	3	1351
27	ROF	4	274
27	TVUF	4	2223
27	TVUH	4	1581
28	ROF	1	0
28	TVUF	1	2190
28	TVUH	1	1540
28	ROF	2	0
28	TVUF	2	915
28	TVUH	2	202
28	ROF	3	0
28	TVUF	3	2786
28	TVUH	3	439
28	ROF	4	979
