ROF_Flowers	TVU	FUMANA	EFL	ECH	LATHYRUS	CAL	CSA	ILU	RGR	BLA	DPE	OLA	PRU	VCR	CSP	FAB	HOE	API	AMO	CORONILLA	EMU	ERO	COMP	MNE	AZA	VF1	PRUNUS	VF2	GALY	POTENTILLA	LFR	UmBELIFERA	Geranium_Robertianum	Geranium_rotundifolium	Medicago	Hippocrepis	GIL	Lotus_corniculatus	Linaria	ESE	Astragalus	Oprhys_lutea	ATET	SHI	Convolvulus_lanuginosus	Cistus_clusii	Oprhys_sphegodes	NAS
17107.8	31648	8	385	0	0	10	0	13	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18237.6	24596.9	0	1325	58	3	0	0	0	0	2	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30007	4540.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	3	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51911.8	49408.3	11	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26193.8	5830.9	19	296	0	0	0	4	0	0	0	52	8	21	30	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6607.7	14847	2	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7984.6	7250.99	1	0	0	0	0	0	0	0	0	0	0	0	0	2010	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2272	8168.4	0	0	0	0	0	0	0	0	121	0	10	0	0	0	175	57	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3107	20064.3	6	68	0	0	0	5	0	24	22	0	45	22	0	0	56	0	35	0	0	0	0	1	19	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23627	6597.7	5	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026	3106	0	0	0	0	0	0	0	0	0	0	17	2	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22309.5	12211.6	0	48	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5826.2	7015.8	13	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	966	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15479.8	2144.4	0	291	0	0	0	0	0	0	15	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6512.6	10296.4	0	0	109	0	0	0	0	0	203	0	116	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5247.4	45550.9	4	144	0	0	0	0	0	0	0	0	80	4	0	0	2	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10062	1418	0	261	0	0	0	0	0	0	0	0	17	6	0	93	0	117	0	4	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4265	7631.4	1	38	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	45	0	0	0	0	0	9	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17695.2	11329.6	0	2187	158	0	0	1	0	2	0	0	0	10	0	6	0	74	0	0	4	0	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22741	3111	6	0	0	0	0	0	0	0	7	0	158	0	0	392	0	35	0	191	0	0	0	0	0	8	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5233	3281	3	0	0	10	0	2	0	0	126	13	0	11	13	0	3	49	0	22	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	53	0	20	0	0	0	0	0	0	0	0	0	0
2971.8	3979	36	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	5	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18051	6901	8	0	0	0	0	0	0	0	0	0	27	0	7	0	0	0	39	10	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19250.4	2540	0	1294	338	0	0	0	0	0	154	0	63	3	0	0	10	128	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7191.5	956.8	0	80	0	0	0	0	0	0	0	104	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6043	10589.3	0	264	286	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0
979.3	8995.7	0	260	0	0	5	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0	53639.9	0	653	0	13	0	0	0	1	1	0	0	0	0	0	4	15	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	1	3	1	20	0	0	0	0	0	0	0	0	0	0	0	0
13708.8	13529.7	2	494	0	0	0	1	0	2	0	0	0	14	0	271	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3051.2	8833.8	4	0	0	0	0	0	0	0	5	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
13518.5	33221.7	71	129	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
