ROF	TVUF	TVUH	FUMANA	EFL	ECH	LATHYRUS	CAL	CSA	ILU	RGR	BLA	DPE	OLA	PRU	VCR	CSP	FAB	HOE	API	AMO	CORONILLA	EMU	ERO	COMP	MNE	AZA	VF1	PRUNUS	VF2	GALY	POTENTILLA	LFR	UmBELIFERA	Geranium_Robertianum	Geranium_rotundifolium	Medicago	Hippocrepis	GIL	Lotus_corniculatus	Linaria	ESE	Astragalus	Oprhys_lutea	ATET	SHI	Convolvulus_lanuginosus	Cistus_clusii	Oprhys_sphegodes	NAS
17107.8	12059.6	19588.4	8	385	0	0	10	0	13	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18237.6	7940.2	16656.7	0	1325	58	3	0	0	0	0	2	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30007	2314	2226.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	3	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51911.8	37098.1	12310.2	11	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26193.8	4326.4	1504.5	19	296	0	0	0	4	0	0	0	52	8	21	30	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6607.7	9963.5	4883.5	2	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7984.6	7250.99	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2010	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2272	5445.6	2722.8	0	0	0	0	0	0	0	0	121	0	10	0	0	0	175	57	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3107	7488.5	12575.8	6	68	0	0	0	5	0	24	22	0	45	22	0	0	56	0	35	0	0	0	0	1	19	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23627	4434.6	2163.1	5	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026	2305	801	0	0	0	0	0	0	0	0	0	0	17	2	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22309.5	7293.3	4918.3	0	48	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5826.2	3233.6	3782.2	13	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	966	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15479.8	1977.4	167	0	291	0	0	0	0	0	0	15	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6512.6	4300.4	5996	0	0	109	0	0	0	0	0	203	0	116	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
