Plot	COMP	PRUNUS	ROF	TVUF	TVUH	FLA	EFL	LATHYRS	CAL	CSA	ILU	RGR	BLA	OLA	CSP	ERO	MNE	VF1	GALY	Medi	GIL	ESE	ATET	SHI
1	0	0	82767536.4	0	56018906.32	66360	5540919.615	0	2377760	0	320307	5271368	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	88233508.8	0	47634830.66	0	19069398.68	56400	0	0	0	0	38232	0	0	0	0	0	0	0	0	0	0	0
3	0	0	145173866	0	6368488.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	3636	0	251149288.4	0	35204709.96	91245	0	0	0	0	0	0	2102760	0	0	3740	382950	0	0	0	0	0	0	0
5	0	0	126725604.4	0	4302569.1	157605	4260031.704	0	0	511224	0	0	0	1554240	0	0	0	0	0	0	0	0	0	0
6	0	0	31968052.6	0	13965833.3	16590	0	0	0	511224	0	0	0	388560	0	0	0	0	0	0	0	0	0	0
7	0	0	38629494.8	0	0	8295	0	0	0	0	0	0	0	0	173302200	0	0	0	0	0	0	0	0	0
8	0	0	10991936	0	7786663.44	0	0	0	0	0	0	0	2313036	1942800	0	0	0	0	0	0	0	0	0	0
9	3636	0	15031666	0	35964272.84	49770	978655.932	0	0	639030	0	15814104	420552	8742600	0	0	485070	0	0	0	0	0	0	0
10	0	0	114307426	0	6186033.38	41475	1165751.919	0	0	0	0	0	0	0	0	0	178710	0	0	0	0	0	0	0
11	0	0	9801788	0	2290699.8	0	0	0	0	0	0	0	0	3302760	0	0	0	0	0	0	0	0	0	0
12	0	0	107933361	0	14065354.34	0	690815.952	0	0	0	0	0	0	0	431100	0	0	357200	0	0	0	0	0	0
13	0	24150000	28187155.6	0	10816335.56	107835	0	0	0	0	0	0	38232	0	0	0	25530	0	0	0	0	0	0	0
14	0	0	74891272.4	0	477586.6	0	4188071.709	0	951104	0	0	0	286740	0	0	0	0	0	0	0	0	0	0	0
15	0	0	31507958.8	0	17147360.8	0	0	0	0	639030	0	0	3880548	22536480	0	0	0	0	0	0	0	0	0	0
16	0	0	25386921.2	0	74862414.5	33180	2072447.856	0	0	0	0	0	0	15542400	0	0	0	0	0	0	0	0	0	0
17	0	0	48679956	0	946593.8	0	3756311.739	0	0	0	0	0	0	3302760	8018460	0	0	0	0	0	0	0	0	0
18	0	0	20634070	0	4907416.8	8295	546895.962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	85609377.6	0	11856730.8	0	31475301.81	0	0	127806	0	1317842	0	0	517320	0	76590	0	0	0	0	0	0	0
20	0	0	110020958	0	2482306.4	49770	0	0	0	0	0	0	133812	30696240	33798240	0	0	0	11643	0	0	0	0	0
21	0	0	25317254	0	3714880.2	24885	0	188000	0	255612	0	0	2408616	0	0	0	0	0	3881	0	0	0	0	0
22	0	0	14377568.4	0	2004719.8	298620	0	0	0	0	0	0	0	17290920	0	0	204240	0	0	0	0	0	0	0
23	0	0	87330738	0	5685282.4	66360	0	0	0	0	0	0	0	5245560	0	0	0	0	0	0	0	0	0	0
24	0	0	93133435.2	0	2073355	0	18623246.71	0	0	0	0	0	2943864	12239640	0	0	0	0	0	0	0	0	0	0
25	0	0	34792477	0	420390.6	0	1151359.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	5737868	0	2389648.88	0	791559.945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	29236034	0	18442564.22	0	3799487.736	0	0	0	0	0	0	0	0	0	229770	0	0	0	0	0	0	0
28	0	0	4737853.4	0	6346468.16	0	3741919.74	0	1188880	0	0	658921	0	0	0	0	102120	0	0	0	17553	0	0	0
29	54540	0	0	0	69097629.66	0	9397975.347	244400	0	0	0	658921	19116	0	0	0	0	0	0	6670	0	0	0	0
30	0	0	66323174.4	0	8777870.12	16590	7109647.506	0	0	127806	0	1317842	0	0	23365620	0	0	0	0	0	0	0	0	0
31	0	0	14761705.6	0	14090234.6	33180	0	0	0	0	0	0	95580	5051280	0	0	0	0	0	0	0	0	0	0
32	0	0	65402503	0	42112556.86	588945	1856567.871	0	0	127806	0	3294605	0	0	0	0	0	0	3881	0	0	0	0	0
33	0	0	20651970.6	0	4589979	132720	115135.992	0	0	8307390	0	23062235	0	0	0	0	0	0	0	0	0	0	0	0
34	0	0	3835566.4	0	17858879.04	356685	0	0	0	0	0	0	0	2914200	0	0	0	0	0	0	0	0	0	0
35	0	0	3512388	0	2436549.6	0	849127.941	0	0	0	0	0	0	0	21727440	0	0	0	0	0	0	24125.4	0	0
36	0	0	6913502	0	104521972.3	481110	0	18800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	0	0	8611640	0	70360803.32	8295	16061470.88	112800	5944400	127806	0	0	0	0	0	0	0	0	3881	0	0	3691186.2	2726	4192
38	0	0	16080060.6	0	97487436.22	2455320	0	0	0	1150254	0	0	57348	12433920	0	0	102120	0	0	0	35106	0	0	0
39	0	0	25503033.2	0	23345691.32	580650	0	0	0	2556120	0	0	0	1554240	0	0	0	0	0	0	0	0	0	0
40	0	0	18094120	0	3348825.8	0	964263.933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
