Plot	Group	Species	Abundance
1	Diptera	TVUH	3
1	Honeybees	TVUH	16
1	Bee	TVUF	1
1	Honeybees	TVUF	3
1	Lepidoptera	TVUF	1
1	Bee	ROF	8
1	Diptera	ROF	2
1	Honeybees	ROF	40
2	Bee	TVUH	1
2	Diptera	TVUH	1
2	Honeybees	TVUH	12
2	Lepidoptera	TVUH	1
2	Diptera	TVUF	1
2	Honeybees	TVUF	4
2	Bee	ROF	8
2	Coleoptera	ROF	1
2	Diptera	ROF	10
2	Honeybees	ROF	161
3	Honeybees	TVUH	1
3	Diptera	TVUF	5
3	Wasp	TVUF	2
3	Bee	ROF	11
3	Coleoptera	ROF	2
3	Diptera	ROF	56
3	Honeybees	ROF	120
3	Wasp	ROF	1
4	Bee	TVUH	1
4	Honeybees	TVUH	3
4	Bee	TVUF	2
4	Diptera	TVUF	1
4	Honeybees	TVUF	10
4	Lepidoptera	TVUF	1
4	Bee	ROF	4
4	Diptera	ROF	17
4	Heteroptera	ROF	1
4	Honeybees	ROF	106
5	Diptera	TVUH	1
5	Bee	TVUF	5
5	Honeybees	TVUF	4
5	Bee	ROF	6
5	Coleoptera	ROF	4
5	Diptera	ROF	4
5	Honeybees	ROF	60
6	Bee	TVUH	2
6	Honeybees	TVUH	8
6	Bee	TVUF	1
6	Honeybees	TVUF	1
6	Bee	ROF	3
6	Diptera	ROF	1
6	Honeybees	ROF	19
7	Bee	TVUF	1
7	Coleoptera	TVUF	1
7	Diptera	TVUF	4
7	Honeybees	TVUF	10
7	Lepidoptera	TVUF	2
7	Bee	ROF	1
7	Coleoptera	ROF	4
7	Diptera	ROF	3
7	Honeybees	ROF	19
8	Diptera	TVUH	1
8	Honeybees	TVUH	6
8	Lepidoptera	TVUH	2
8	Bee	TVUF	2
8	Diptera	TVUF	2
8	Honeybees	TVUF	2
8	Lepidoptera	TVUF	1
8	Bee	ROF	6
8	Coleoptera	ROF	3
8	Honeybees	ROF	24
8	Wasp	ROF	1
9	Bee	TVUH	2
9	Coleoptera	TVUH	1
9	Diptera	TVUH	2
9	Honeybees	TVUH	11
9	Wasp	TVUH	1
9	Bee	TVUF	3
9	Diptera	TVUF	1
9	Honeybees	TVUF	2
9	Bee	ROF	4
9	Coleoptera	ROF	3
9	Diptera	ROF	1
9	Honeybees	ROF	69
9	Wasp	ROF	1
10	Bee	TVUH	1
10	Bee	TVUF	2
10	Bee	ROF	3
10	Diptera	ROF	1
10	Honeybees	ROF	33
11	Bee	TVUH	1
11	Honeybees	TVUH	3
11	Diptera	TVUF	4
11	Honeybees	TVUF	4
11	Bee	ROF	2
11	Coleoptera	ROF	1
11	Honeybees	ROF	14
12	Bee	TVUH	6
12	Diptera	TVUH	1
12	Honeybees	TVUH	8
12	Bee	TVUF	1
12	Honeybees	TVUF	3
12	Wasp	TVUF	1
12	Bee	ROF	9
12	Diptera	ROF	16
12	Honeybees	ROF	27
13	Diptera	TVUH	1
13	Honeybees	TVUH	5
13	Bee	TVUF	1
13	Diptera	TVUF	2
13	Honeybees	TVUF	2
13	Lepidoptera	TVUF	1
13	Bee	ROF	3
13	Diptera	ROF	1
13	Honeybees	ROF	20
14	Honeybees	TVUH	1
14	Bee	TVUF	3
14	Diptera	TVUF	1
14	Honeybees	TVUF	4
14	Lepidoptera	TVUF	1
14	Bee	ROF	10
14	Coleoptera	ROF	1
14	Diptera	ROF	5
14	Honeybees	ROF	137
15	Bee	TVUH	1
15	Coleoptera	TVUH	1
15	Honeybees	TVUH	7
15	Lepidoptera	TVUH	2
15	Bee	TVUF	1
15	Diptera	TVUF	1
15	Honeybees	TVUF	1
15	Bee	ROF	2
15	Coleoptera	ROF	14
15	Honeybees	ROF	47
15	Lepidoptera	ROF	1
16	Bee	TVUH	1
16	Diptera	TVUH	1
16	Honeybees	TVUH	20
16	Lepidoptera	TVUH	1
16	Wasp	TVUH	1
16	Bee	TVUF	2
16	Diptera	TVUF	2
16	Honeybees	TVUF	9
16	Lepidoptera	TVUF	1
16	Bee	ROF	2
16	Coleoptera	ROF	1
16	Honeybees	ROF	19
17	Diptera	TVUH	2
17	Bee	TVUF	1
17	Bee	ROF	2
17	Coleoptera	ROF	1
17	Diptera	ROF	1
17	Honeybees	ROF	59
17	Lepidoptera	ROF	2
18	Bee	TVUF	6
18	Wasp	TVUF	3
18	Bee	ROF	6
18	Honeybees	ROF	58
18	Lepidoptera	ROF	1
19	Honeybees	TVUH	3
19	Bee	TVUF	6
19	Diptera	TVUF	1
19	Honeybees	TVUF	14
19	Lepidoptera	TVUF	5
19	Wasp	TVUF	1
19	Bee	ROF	4
19	Diptera	ROF	7
19	Honeybees	ROF	126
20	Bee	TVUH	1
20	Wasp	TVUH	1
20	Honeybees	TVUF	2
20	Lepidoptera	TVUF	1
20	Bee	ROF	2
20	Coleoptera	ROF	6
20	Diptera	ROF	9
20	Honeybees	ROF	133
20	Lepidoptera	ROF	4
20	Wasp	ROF	3
21	Bee	TVUH	1
21	Lepidoptera	TVUH	2
21	Diptera	TVUF	2
21	Honeybees	TVUF	2
21	Lepidoptera	TVUF	3
21	Wasp	TVUF	1
21	Bee	ROF	3
21	Coleoptera	ROF	9
21	Diptera	ROF	4
21	Honeybees	ROF	35
21	Lepidoptera	ROF	2
22	Honeybees	TVUH	2
22	Lepidoptera	TVUH	6
22	Bee	TVUF	3
22	Honeybees	TVUF	3
22	Lepidoptera	TVUF	4
22	Wasp	TVUF	1
22	Bee	ROF	1
22	Coleoptera	ROF	2
22	Diptera	ROF	2
22	Honeybees	ROF	20
23	Bee	TVUF	1
23	Diptera	TVUF	2
23	Honeybees	TVUF	1
23	Lepidoptera	TVUF	1
23	Bee	ROF	1
23	Coleoptera	ROF	2
23	Diptera	ROF	1
23	Honeybees	ROF	93
23	Lepidoptera	ROF	1
24	Diptera	TVUH	2
24	Lepidoptera	TVUH	2
24	Bee	TVUF	1
24	Honeybees	TVUF	1
24	Bee	ROF	8
24	Diptera	ROF	4
24	Honeybees	ROF	184
24	Lepidoptera	ROF	6
24	Mecoptera	ROF	1
25	Honeybees	TVUF	2
25	Bee	ROF	2
25	Coleoptera	ROF	1
25	Honeybees	ROF	57
25	Lepidoptera	ROF	2
26	Bee	TVUH	1
26	Coleoptera	TVUH	2
26	Bee	TVUF	1
26	Honeybees	TVUF	1
26	Bee	ROF	1
26	Diptera	ROF	3
26	Honeybees	ROF	2
27	Diptera	TVUH	2
27	Honeybees	TVUH	1
27	Honeybees	TVUF	1
27	Diptera	ROF	1
27	Honeybees	ROF	11
28	Coleoptera	TVUH	1
28	Honeybees	TVUH	1
28	Bee	TVUF	1
28	Coleoptera	TVUF	1
28	Diptera	TVUF	1
28	Honeybees	TVUF	4
28	Bee	ROF	1
28	Diptera	ROF	1
28	Honeybees	ROF	1
29	Diptera	TVUH	2
29	Honeybees	TVUH	20
29	Lepidoptera	TVUH	5
29	Bee	TVUF	2
29	Diptera	TVUF	2
29	Honeybees	TVUF	12
29	Lepidoptera	TVUF	1
30	Bee	TVUH	1
30	Diptera	TVUH	1
30	Honeybees	TVUH	1
30	Lepidoptera	TVUH	1
30	Bee	TVUF	2
30	Diptera	TVUF	2
30	Honeybees	TVUF	4
30	Lepidoptera	TVUF	2
30	Bee	ROF	2
30	Coleoptera	ROF	3
30	Diptera	ROF	2
30	Honeybees	ROF	70
31	Diptera	TVUH	1
31	Honeybees	TVUH	9
31	Bee	TVUF	2
31	Diptera	TVUF	1
31	Honeybees	TVUF	3
31	Bee	ROF	2
31	Coleoptera	ROF	17
31	Diptera	ROF	2
31	Honeybees	ROF	24
32	Bee	TVUH	2
32	Diptera	TVUH	3
32	Honeybees	TVUH	17
32	Lepidoptera	TVUH	1
32	Bee	TVUF	1
32	Diptera	TVUF	2
32	Honeybees	TVUF	20
32	Bee	ROF	4
32	Honeybees	ROF	66
33	Diptera	TVUH	1
33	Honeybees	TVUH	4
33	Bee	TVUF	2
33	Diptera	TVUF	4
33	Honeybees	TVUF	16
33	Bee	ROF	2
33	Honeybees	ROF	34
34	Bee	TVUH	3
34	Diptera	TVUH	3
34	Honeybees	TVUH	15
34	Lepidoptera	TVUH	1
34	Wasp	TVUH	2
34	Bee	TVUF	4
34	Coleoptera	TVUF	1
34	Diptera	TVUF	4
34	Honeybees	TVUF	5
34	Lepidoptera	TVUF	2
34	Bee	ROF	1
34	Coleoptera	ROF	3
34	Honeybees	ROF	1
35	Diptera	TVUH	2
35	Honeybees	TVUH	2
35	Coleoptera	TVUF	2
35	Diptera	TVUF	4
35	Honeybees	TVUF	1
35	Bee	ROF	1
36	Bee	TVUH	2
36	Diptera	TVUH	3
36	Honeybees	TVUH	56
36	Lepidoptera	TVUH	2
36	Bee	TVUF	11
36	Diptera	TVUF	4
36	Honeybees	TVUF	71
36	Lepidoptera	TVUF	7
36	Wasp	TVUF	2
36	Bee	ROF	1
36	Coleoptera	ROF	3
36	Honeybees	ROF	11
37	Bee	TVUH	7
37	Diptera	TVUH	5
37	Honeybees	TVUH	41
37	Lepidoptera	TVUH	3
37	Bee	TVUF	5
37	Diptera	TVUF	2
37	Honeybees	TVUF	23
37	Lepidoptera	TVUF	1
37	Bee	ROF	4
37	Coleoptera	ROF	2
37	Diptera	ROF	2
37	Honeybees	ROF	13
38	Bee	TVUH	6
38	Diptera	TVUH	13
38	Honeybees	TVUH	49
38	Lepidoptera	TVUH	5
38	Bee	TVUF	6
38	Diptera	TVUF	10
38	Honeybees	TVUF	11
38	Lepidoptera	TVUF	5
38	Wasp	TVUF	1
38	Bee	ROF	3
38	Coleoptera	ROF	2
38	Honeybees	ROF	21
39	Bee	TVUH	1
39	Honeybees	TVUH	7
39	Bee	TVUF	1
39	Honeybees	TVUF	6
39	Bee	ROF	1
39	Coleoptera	ROF	3
39	Diptera	ROF	1
39	Honeybees	ROF	8
40	Coleoptera	TVUH	2
40	Heteroptera	TVUH	1
40	Lepidoptera	TVUF	1
40	Coleoptera	ROF	1
40	Diptera	ROF	2
40	Heteroptera	ROF	2
40	Honeybees	ROF	13
			
