Parcela	X	Y	Nom_definitiu	Functional_group_Rocka	Nom_planta	Codi_planta	Plant	Frequencia
19	1.92	41.31	Andrena_limata	Short-tongued_large_bees	Euphorbia_flavicoma	EFL	EFL	1
14	1.93	41.31	Andrena_limata	Short-tongued_large_bees	Rosmarinus_officinalis	ROF	ROF	1
15	1.88	41.30	Andrena_nigroaenea	Short-tongued_large_bees	Cistus_salviifolius	CSA	CSA	1
39	1.88	41.26	Andrena_nigroaenea	Short-tongued_large_bees	Cistus_salviifolius	CSA	CSA	2
4	1.88	41.28	Andrena_nigroaenea	Short-tongued_large_bees	Rosmarinus_officinalis	ROF	ROF	2
5	1.87	41.28	Andrena_nigroaenea	Short-tongued_large_bees	Rosmarinus_officinalis	ROF	ROF	1
6	1.86	41.29	Andrena_nigroaenea	Short-tongued_large_bees	Rosmarinus_officinalis	ROF	ROF	1
8	1.87	41.30	Andrena_nigroaenea	Short-tongued_large_bees	Rosmarinus_officinalis	ROF	ROF	1
10	1.91	41.28	Andrena_nigroaenea	Short-tongued_large_bees	Rosmarinus_officinalis	ROF	ROF	1
13	1.88	41.31	Andrena_nigroaenea	Short-tongued_large_bees	Rosmarinus_officinalis	ROF	ROF	1
15	1.88	41.30	Andrena_nigroaenea	Short-tongued_large_bees	Rosmarinus_officinalis	ROF	ROF	1
16	1.89	41.30	Andrena_nigroaenea	Short-tongued_large_bees	Rosmarinus_officinalis	ROF	ROF	1
18	1.90	41.31	Andrena_nigroaenea	Short-tongued_large_bees	Rosmarinus_officinalis	ROF	ROF	1
24	1.92	41.31	Andrena_nigroaenea	Short-tongued_large_bees	Rosmarinus_officinalis	ROF	ROF	3
14	1.93	41.31	Andrena_nigroaenea	Short-tongued_large_bees	Thymus_vulgaris_Female	TVUF	TVU	1
16	1.89	41.30	Andrena_nigroaenea	Short-tongued_large_bees	Thymus_vulgaris_Female	TVUF	TVU	1
19	1.92	41.31	Andrena_nigroaenea	Short-tongued_large_bees	Thymus_vulgaris_Female	TVUF	TVU	2
