Plot	Coleoptera	Diptera	Heteroptera	Large_bee	Lepidoptera	Mecoptera	Small_bee	Wasp
1	2	5	0	5	1	0	6	0
2	1	12	0	5	1	0	8	0
3	2	61	0	2	0	0	9	3
4	0	18	1	2	1	0	5	0
5	5	6	0	2	0	0	9	0
6	1	1	0	1	0	0	9	0
7	7	7	0	2	2	0	1	0
8	3	5	0	3	3	0	9	1
9	10	5	0	0	0	0	9	3
10	0	1	0	1	0	0	5	0
11	1	4	0	3	0	0	1	0
12	0	17	0	2	0	0	14	1
13	1	4	0	3	1	0	1	0
14	5	6	2	4	1	0	10	0
15	28	1	0	4	3	0	2	0
16	1	4	0	2	2	0	5	3
17	7	4	1	2	2	0	3	0
18	0	0	0	1	1	0	12	3
19	4	14	0	4	5	0	9	1
20	10	9	0	3	5	0	5	4
21	14	9	0	1	7	0	6	1
22	3	2	0	1	10	0	5	1
23	2	3	0	1	2	0	1	0
24	2	15	0	3	9	1	13	0
25	2	0	0	2	2	0	0	0
26	2	3	0	1	0	0	2	0
27	0	3	0	2	0	0	0	0
28	2	3	0	0	0	0	2	1
29	4	12	0	0	6	0	5	0
30	7	7	0	0	3	0	6	0
31	17	5	0	1	0	0	3	0
32	4	5	0	4	1	0	3	0
33	9	8	0	0	0	0	6	0
34	5	8	1	9	6	0	4	2
35	5	8	0	4	0	0	3	1
36	3	7	0	1	9	0	13	2
37	14	14	0	4	4	0	31	0
38	6	23	0	4	10	0	16	1
39	10	1	0	3	0	0	5	0
40	3	2	3	0	1	0	0	0
