Plot	Sp	Individual	Flower	Avorted	Ovule	Seed	Total
1	TVUF	2	6	NA	NA	NA	NA
1	TVUF	4	6	NA	NA	NA	NA
1	TVUF	6	6	NA	NA	NA	NA
1	TVUF	7	3	NA	NA	NA	NA
1	TVUF	7	4	NA	NA	NA	NA
1	TVUF	7	5	NA	NA	NA	NA
1	TVUF	7	6	NA	NA	NA	NA
1	TVUF	8	2	NA	NA	NA	NA
1	TVUF	8	5	NA	NA	NA	NA
1	TVUF	8	6	NA	NA	NA	NA
1	TVUF	9	6	NA	NA	NA	NA
1	TVUH	1	6	NA	NA	NA	NA
1	TVUH	2	5	NA	NA	NA	NA
1	TVUH	2	6	NA	NA	NA	NA
1	TVUH	5	6	NA	NA	NA	NA
1	TVUH	7	6	NA	NA	NA	NA
1	TVUH	8	4	NA	NA	NA	NA
1	TVUH	8	5	NA	NA	NA	NA
1	TVUH	8	6	NA	NA	NA	NA
1	TVUH	9	5	NA	NA	NA	NA
1	TVUH	9	6	NA	NA	NA	NA
2	TVUF	1	3	NA	NA	NA	NA
2	TVUF	1	4	NA	NA	NA	NA
2	TVUF	1	5	NA	NA	NA	NA
2	TVUF	1	6	NA	NA	NA	NA
2	TVUF	2	6	NA	NA	NA	NA
2	TVUF	3	4	NA	NA	NA	NA
2	TVUF	3	5	NA	NA	NA	NA
2	TVUF	3	6	NA	NA	NA	NA
2	TVUF	4	6	NA	NA	NA	NA
2	TVUF	9	6	NA	NA	NA	NA
2	TVUF	10	4	NA	NA	NA	NA
2	TVUF	10	5	NA	NA	NA	NA
2	TVUF	10	6	NA	NA	NA	NA
2	TVUH	1	3	NA	NA	NA	NA
2	TVUH	1	4	NA	NA	NA	NA
2	TVUH	1	5	NA	NA	NA	NA
2	TVUH	1	6	NA	NA	NA	NA
2	TVUH	2	5	NA	NA	NA	NA
2	TVUH	2	6	NA	NA	NA	NA
2	TVUH	3	6	NA	NA	NA	NA
2	TVUH	4	4	NA	NA	NA	NA
2	TVUH	4	5	NA	NA	NA	NA
2	TVUH	4	6	NA	NA	NA	NA
2	TVUH	6	1	NA	NA	NA	NA
2	TVUH	6	2	NA	NA	NA	NA
2	TVUH	6	3	NA	NA	NA	NA
2	TVUH	6	4	NA	NA	NA	NA
2	TVUH	6	5	NA	NA	NA	NA
2	TVUH	6	6	NA	NA	NA	NA
2	TVUH	7	5	NA	NA	NA	NA
2	TVUH	7	6	NA	NA	NA	NA
2	TVUH	8	5	NA	NA	NA	NA
2	TVUH	8	6	NA	NA	NA	NA
2	TVUH	9	3	NA	NA	NA	NA
2	TVUH	9	4	NA	NA	NA	NA
2	TVUH	9	5	NA	NA	NA	NA
2	TVUH	9	6	NA	NA	NA	NA
2	TVUH	10	5	NA	NA	NA	NA
2	TVUH	10	6	NA	NA	NA	NA
3	TVUF	1	5	NA	NA	NA	NA
3	TVUF	1	6	NA	NA	NA	NA
3	TVUF	2	4	NA	NA	NA	NA
3	TVUF	2	5	NA	NA	NA	NA
3	TVUF	2	6	NA	NA	NA	NA
3	TVUF	4	6	NA	NA	NA	NA
3	TVUF	5	5	NA	NA	NA	NA
3	TVUF	5	6	NA	NA	NA	NA
3	TVUF	6	4	NA	NA	NA	NA
3	TVUF	6	5	NA	NA	NA	NA
3	TVUF	6	6	NA	NA	NA	NA
3	TVUF	7	3	NA	NA	NA	NA
3	TVUF	9	4	NA	NA	NA	NA
3	TVUF	9	5	NA	NA	NA	NA
3	TVUF	9	6	NA	NA	NA	NA
3	TVUF	10	6	NA	NA	NA	NA
3	TVUH	1	6	NA	NA	NA	NA
3	TVUH	2	3	NA	NA	NA	NA
3	TVUH	2	4	NA	NA	NA	NA
3	TVUH	2	5	NA	NA	NA	NA
3	TVUH	2	6	NA	NA	NA	NA
3	TVUH	3	4	NA	NA	NA	NA
3	TVUH	3	5	NA	NA	NA	NA
3	TVUH	3	6	NA	NA	NA	NA
3	TVUH	4	5	NA	NA	NA	NA
3	TVUH	4	6	NA	NA	NA	NA
3	TVUH	5	4	NA	NA	NA	NA
3	TVUH	5	6	NA	NA	NA	NA
3	TVUH	6	6	NA	NA	NA	NA
3	TVUH	7	5	NA	NA	NA	NA
3	TVUH	7	6	NA	NA	NA	NA
3	TVUH	8	6	NA	NA	NA	NA
3	TVUH	9	5	NA	NA	NA	NA
3	TVUH	9	6	NA	NA	NA	NA
4	TVUF	1	6	NA	NA	NA	NA
4	TVUF	3	5	NA	NA	NA	NA
4	TVUF	3	6	NA	NA	NA	NA
4	TVUF	4	2	NA	NA	NA	NA
4	TVUF	4	3	NA	NA	NA	NA
4	TVUF	4	4	NA	NA	NA	NA
4	TVUF	4	5	NA	NA	NA	NA
4	TVUF	4	6	NA	NA	NA	NA
4	TVUF	5	6	NA	NA	NA	NA
4	TVUF	6	5	NA	NA	NA	NA
4	TVUF	6	6	NA	NA	NA	NA
4	TVUF	7	1	NA	NA	NA	NA
4	TVUF	7	2	NA	NA	NA	NA
4	TVUF	7	3	NA	NA	NA	NA
4	TVUF	7	4	NA	NA	NA	NA
4	TVUF	7	5	NA	NA	NA	NA
4	TVUF	7	6	NA	NA	NA	NA
4	TVUF	8	2	NA	NA	NA	NA
4	TVUF	10	4	NA	NA	NA	NA
4	TVUF	10	5	NA	NA	NA	NA
4	TVUF	10	6	NA	NA	NA	NA
4	TVUH	1	3	NA	NA	NA	NA
4	TVUH	1	4	NA	NA	NA	NA
4	TVUH	1	5	NA	NA	NA	NA
4	TVUH	1	6	NA	NA	NA	NA
4	TVUH	2	5	NA	NA	NA	NA
4	TVUH	2	6	NA	NA	NA	NA
4	TVUH	3	5	NA	NA	NA	NA
4	TVUH	3	6	NA	NA	NA	NA
4	TVUH	4	4	NA	NA	NA	NA
4	TVUH	4	5	NA	NA	NA	NA
4	TVUH	4	6	NA	NA	NA	NA
4	TVUH	5	6	NA	NA	NA	NA
4	TVUH	6	5	NA	NA	NA	NA
4	TVUH	6	6	NA	NA	NA	NA
4	TVUH	8	3	NA	NA	NA	NA
4	TVUH	8	4	NA	NA	NA	NA
4	TVUH	8	5	NA	NA	NA	NA
4	TVUH	8	6	NA	NA	NA	NA
4	TVUH	9	5	NA	NA	NA	NA
4	TVUH	9	6	NA	NA	NA	NA
4	TVUH	10	1	NA	NA	NA	NA
4	TVUH	10	2	NA	NA	NA	NA
4	TVUH	10	3	NA	NA	NA	NA
4	TVUH	10	4	NA	NA	NA	NA
4	TVUH	10	5	NA	NA	NA	NA
