Plot	Pesades	No_pesades	Sp
1	43	24	TVUF
2	39	17	TVUF
3	42	0	TVUF
4	41	39	TVUF
5	31	0	TVUF
6	18	0	TVUF
7	45	15	TVUF
8	35	0	TVUF
9	34	0	TVUF
10	13	0	TVUF
11	9	0	TVUF
12	29	0	TVUF
13	47	0	TVUF
14	19	0	TVUF
15	8	0	TVUF
16	45	0	TVUF
17	25	0	TVUF
18	5	0	TVUF
19	17	0	TVUF
20	16	0	TVUF
21	22	0	TVUF
22	17	0	TVUF
23	40	0	TVUF
24	5	0	TVUF
25	31	0	TVUF
26	22	0	TVUF
27	24	0	TVUF
28	4	0	TVUF
29	22	0	TVUF
30	30	0	TVUF
31	40	0	TVUF
32	41	28	TVUF
33	40	0	TVUF
34	12	0	TVUF
35	35	0	TVUF
36	27	0	TVUF
37	54	0	TVUF
38	43	0	TVUF
39	35	0	TVUF
40	12	0	TVUF
1	45	10	TVUH
2	16	0	TVUH
3	19	0	TVUH
4	50	6	TVUH
5	19	0	TVUH
6	9	0	TVUH
7	28	0	TVUH
8	6	0	TVUH
9	25	0	TVUH
10	21	0	TVUH
11	5	0	TVUH
12	28	0	TVUH
13	50	0	TVUH
14	2	0	TVUH
15	8	0	TVUH
16	7	0	TVUH
17	16	0	TVUH
18	2	0	TVUH
19	10	0	TVUH
20	7	0	TVUH
21	22	0	TVUH
22	8	0	TVUH
23	14	0	TVUH
24	3	0	TVUH
25	2	0	TVUH
26	22	0	TVUH
27	11	0	TVUH
28	0	0	TVUH
29	10	0	TVUH
30	8	0	TVUH
31	23	0	TVUH
32	46	0	TVUH
33	20	0	TVUH
34	5	0	TVUH
35	23	0	TVUH
36	14	0	TVUH
37	16	0	TVUH
38	33	0	TVUH
39	13	0	TVUH
40	3	0	TVUH
