Plot	Species	Individual	Weight	Embryo
25	TVUF	15	0.115	morta
9	TVUH	12	0.109	morta
34	TVUH	1	0.109	morta
38	TVUH	31	0.108	morta
37	TVUF	7	0.106	morta
5	TVUH	19	0.105	morta
14	TVUF	2	0.103	morta
35	TVUF	7	0.096	morta
38	TVUF	21	0.096	morta
16	TVUF	8	0.095	morta
2	TVUF	19	0.093	morta
5	TVUF	3	0.093	morta
5	TVUF	17	0.093	morta
9	TVUH	25	0.093	morta
25	TVUF	7	0.093	morta
20	TVUF	7	0.092	morta
38	TVUH	18	0.092	morta
37	TVUF	41	0.091	morta
34	TVUH	4	0.090	morta
34	TVUH	3	0.089	morta
2	TVUF	27	0.088	morta
39	TVUH	8	0.088	morta
18	TVUH	2	0.087	morta
36	TVUH	1	0.086	morta
24	TVUF	3	0.085	morta
35	TVUF	26	0.085	morta
2	TVUF	21	0.084	morta
5	TVUF	29	0.083	morta
5	TVUH	3	0.082	morta
9	TVUH	15	0.082	morta
9	TVUH	19	0.082	morta
6	TVUH	5	0.081	morta
14	TVUF	1	0.081	morta
25	TVUF	1	0.081	morta
36	TVUH	6	0.081	morta
9	TVUH	2	0.080	morta
21	TVUF	21	0.079	morta
25	TVUF	9	0.079	morta
9	TVUH	6	0.078	morta
20	TVUF	11	0.077	morta
24	TVUF	2	0.077	morta
36	TVUH	8	0.076	morta
9	TVUF	22	0.075	morta
9	TVUH	14	0.075	morta
1	TVUH	27	0.074	morta
23	TVUF	8	0.074	morta
25	TVUF	6	0.074	morta
10	TVUF	1	0.073	morta
30	TVUF	12	0.073	morta
2	TVUF	26	0.072	morta
20	TVUH	7	0.072	morta
19	TVUF	1	0.071	morta
26	TVUF	2	0.071	morta
5	TVUH	17	0.070	morta
10	TVUH	18	0.070	morta
17	TVUH	11	0.070	morta
19	TVUF	5	0.070	morta
20	TVUF	3	0.070	morta
36	TVUH	9	0.070	morta
21	TVUF	5	0.069	morta
5	TVUF	10	0.068	morta
5	TVUF	20	0.068	morta
20	TVUH	3	0.068	morta
30	TVUF	9	0.068	morta
30	TVUH	6	0.068	morta
39	TVUF	27	0.068	morta
39	TVUH	4	0.068	morta
2	TVUH	7	0.067	morta
2	TVUH	11	0.067	morta
3	TVUF	30	0.067	morta
9	TVUF	15	0.067	morta
39	TVUF	10	0.067	morta
1	TVUF	18	0.066	morta
12	TVUH	14	0.066	morta
33	TVUH	4	0.066	morta
1	TVUH	7	0.065	morta
5	TVUF	5	0.065	morta
9	TVUF	14	0.065	morta
31	TVUH	20	0.065	morta
32	TVUH	19	0.065	morta
34	TVUF	7	0.065	morta
36	TVUH	5	0.065	morta
39	TVUF	8	0.065	morta
17	TVUF	7	0.064	morta
17	TVUF	22	0.064	morta
23	TVUF	31	0.064	morta
31	TVUH	15	0.064	morta
34	TVUH	2	0.064	morta
38	TVUH	28	0.064	morta
39	TVUH	7	0.064	morta
9	TVUH	18	0.063	morta
14	TVUF	17	0.063	morta
30	TVUF	24	0.063	morta
31	TVUH	16	0.063	morta
31	TVUH	17	0.063	morta
39	TVUF	11	0.063	morta
1	TVUH	1	0.062	morta
5	TVUH	6	0.062	morta
15	TVUF	8	0.062	morta
20	TVUF	10	0.062	morta
31	TVUH	23	0.062	morta
40	TVUF	10	0.062	morta
10	TVUH	6	0.061	morta
20	TVUF	15	0.061	morta
22	TVUF	2	0.061	morta
34	TVUF	10	0.061	morta
39	TVUF	22	0.061	morta
1	TVUH	14	0.060	morta
4	TVUF	29	0.060	morta
5	TVUF	9	0.060	morta
7	TVUH	23	0.060	morta
20	TVUF	5	0.060	morta
23	TVUF	30	0.060	morta
32	TVUF	11	0.060	morta
1	TVUH	24	0.059	morta
5	TVUF	6	0.059	morta
7	TVUF	37	0.059	morta
26	TVUH	1	0.059	morta
34	TVUF	5	0.059	morta
36	TVUH	12	0.059	morta
3	TVUF	8	0.058	morta
3	TVUH	13	0.058	morta
9	TVUF	6	0.058	morta
9	TVUH	21	0.058	morta
12	TVUH	23	0.058	morta
14	TVUF	6	0.058	morta
17	TVUH	10	0.058	morta
18	TVUF	3	0.058	morta
23	TVUF	23	0.058	morta
4	TVUH	10	0.057	morta
7	TVUH	24	0.057	morta
13	TVUH	6	0.057	morta
21	TVUF	22	0.057	morta
22	TVUH	3	0.057	morta
36	TVUF	12	0.057	morta
3	TVUH	11	0.056	morta
3	TVUH	15	0.056	morta
4	TVUH	6	0.056	morta
8	TVUF	7	0.056	morta
15	TVUH	4	0.056	morta
18	TVUF	1	0.056	morta
19	TVUF	8	0.056	morta
20	TVUH	2	0.056	morta
31	TVUH	22	0.056	morta
39	TVUH	2	0.056	morta
1	TVUF	33	0.055	morta
5	TVUH	10	0.055	morta
13	TVUH	50	0.055	morta
39	TVUH	3	0.055	morta
1	TVUH	12	0.054	morta
5	TVUH	7	0.054	morta
9	TVUH	10	0.054	morta
19	TVUH	3	0.054	morta
23	TVUF	11	0.054	morta
24	TVUH	1	0.054	morta
27	TVUH	4	0.054	morta
33	TVUH	5	0.054	morta
34	TVUF	9	0.054	morta
39	TVUF	17	0.054	morta
1	TVUH	8	0.053	morta
5	TVUH	11	0.053	morta
15	TVUH	3	0.053	morta
16	TVUF	12	0.053	morta
17	TVUF	14	0.053	morta
19	TVUF	13	0.053	morta
30	TVUF	17	0.053	morta
5	TVUF	1	0.052	morta
22	TVUF	4	0.052	morta
27	TVUH	1	0.052	morta
32	TVUH	7	0.052	morta
38	TVUF	20	0.052	morta
1	TVUF	25	0.051	morta
4	TVUH	39	0.051	morta
5	TVUH	15	0.051	morta
19	TVUH	1	0.051	morta
35	TVUH	3	0.051	morta
37	TVUH	7	0.051	morta
3	TVUF	6	0.050	morta
4	TVUH	47	0.050	morta
5	TVUH	2	0.050	morta
20	TVUF	12	0.050	morta
22	TVUH	8	0.050	morta
23	TVUF	24	0.050	morta
30	TVUH	1	0.050	morta
32	TVUH	13	0.050	morta
36	TVUH	13	0.050	morta
3	TVUH	6	0.049	morta
4	TVUF	12	0.049	morta
7	TVUH	21	0.049	morta
7	TVUH	26	0.049	morta
8	TVUF	27	0.049	morta
8	TVUH	5	0.049	morta
9	TVUF	19	0.049	morta
17	TVUH	4	0.049	morta
21	TVUH	10	0.049	morta
22	TVUH	1	0.049	morta
30	TVUF	18	0.049	morta
31	TVUH	21	0.049	morta
39	TVUF	32	0.049	morta
3	TVUF	21	0.048	morta
3	TVUH	16	0.048	morta
3	TVUH	19	0.048	morta
4	TVUF	38	0.048	morta
7	TVUH	7	0.048	morta
9	TVUF	24	0.048	morta
9	TVUH	3	0.048	morta
12	TVUH	24	0.048	morta
18	TVUF	5	0.048	morta
19	TVUF	12	0.048	morta
32	TVUF	12	0.048	morta
33	TVUH	17	0.048	morta
35	TVUH	7	0.048	morta
38	TVUF	19	0.048	morta
39	TVUF	16	0.048	morta
3	TVUH	4	0.047	morta
4	TVUH	8	0.047	morta
7	TVUH	6	0.047	morta
9	TVUF	12	0.047	morta
17	TVUH	3	0.047	morta
17	TVUH	6	0.047	morta
32	TVUH	9	0.047	morta
3	TVUF	36	0.046	morta
3	TVUH	7	0.046	morta
5	TVUF	16	0.046	morta
5	TVUH	5	0.046	morta
5	TVUH	9	0.046	morta
7	TVUF	25	0.046	morta
8	TVUF	9	0.046	morta
8	TVUF	16	0.046	morta
16	TVUF	42	0.046	morta
20	TVUF	9	0.046	morta
29	TVUH	7	0.046	morta
32	TVUH	41	0.046	morta
3	TVUF	3	0.045	morta
4	TVUH	11	0.045	morta
8	TVUF	5	0.045	morta
8	TVUF	12	0.045	morta
9	TVUH	20	0.045	morta
22	TVUH	5	0.045	morta
32	TVUH	11	0.045	morta
32	TVUH	38	0.045	morta
5	TVUH	14	0.044	morta
22	TVUF	1	0.044	morta
22	TVUH	6	0.044	morta
29	TVUH	3	0.044	morta
32	TVUH	6	0.044	morta
34	TVUF	8	0.044	morta
34	TVUF	11	0.044	morta
3	TVUH	17	0.043	morta
5	TVUH	4	0.043	morta
13	TVUH	34	0.043	morta
18	TVUF	4	0.043	morta
19	TVUF	15	0.043	morta
20	TVUF	2	0.043	morta
33	TVUF	31	0.043	morta
3	TVUH	8	0.042	morta
10	TVUH	21	0.042	morta
1	TVUH	42	0.042	morta
7	TVUH	1	0.041	morta
17	TVUH	9	0.041	morta
4	TVUF	39	0.040	morta
7	TVUF	42	0.040	morta
8	TVUF	6	0.040	morta
32	TVUH	2	0.040	morta
32	TVUH	3	0.040	morta
32	TVUH	40	0.040	morta
35	TVUF	19	0.040	morta
38	TVUF	2	0.040	morta
13	TVUH	25	0.039	morta
27	TVUH	3	0.039	morta
37	TVUF	38	0.039	morta
1	TVUF	6	0.038	morta
5	TVUF	4	0.038	morta
23	TVUH	9	0.038	morta
37	TVUF	30	0.038	morta
38	TVUF	28	0.038	morta
4	TVUH	45	0.037	morta
6	TVUH	3	0.037	morta
7	TVUF	6	0.037	morta
36	TVUF	10	0.037	morta
