Plot	Species	Individu	Mostra	TVU	ROF	OTHERS	TOTAL
1	ROF	1	1	0	4	0	5
1	ROF	1	2	0	0	0	0
1	ROF	2	1	0	0	0	0
1	ROF	2	2	0	3	0	3
1	ROF	3	1	0	2	0	2
1	ROF	3	2	0	23	0	23
1	ROF	4	1	0	7	0	7
1	ROF	4	2	0	3	0	3
1	ROF	5	1	0	4	0	4
1	ROF	5	2	0	10	0	10
1	ROF	6	1	0	8	0	8
1	ROF	6	2	0	0	0	0
1	ROF	7	1	0	1	0	1
1	ROF	7	2	0	4	0	4
1	ROF	8	1	0	0	0	0
1	ROF	8	2	0	6	0	7
1	ROF	9	1	0	1	0	1
1	ROF	9	2	0	0	0	0
1	ROF	10	1	0	1	0	1
1	ROF	10	2	0	1	0	1
1	TVUF	1	1	35	0	0	35
1	TVUF	1	2	7	0	0	7
1	TVUF	2	1	0	0	0	0
1	TVUF	2	2	7	0	0	7
1	TVUF	3	1	11	0	0	11
1	TVUF	3	2	17	0	0	17
1	TVUF	4	1	70	0	0	70
1	TVUF	4	2	6	0	0	6
1	TVUF	5	1	12	0	0	19
1	TVUF	5	2	0	0	0	0
1	TVUF	6	1	1	0	0	2
1	TVUF	6	2	0	0	0	0
1	TVUF	7	1	0	0	0	0
1	TVUF	7	2	90	0	0	90
1	TVUF	8	1	10	0	0	10
1	TVUF	8	2	29	0	0	29
1	TVUF	9	1	2	0	0	2
1	TVUF	9	2	0	0	0	0
1	TVUF	10	1	NA	NA	NA	NA
1	TVUF	10	2	NA	NA	NA	NA
1	TVUH	1	1	0	0	0	0
1	TVUH	1	2	1	0	0	1
1	TVUH	2	1	34	0	0	36
1	TVUH	2	2	8	0	0	8
1	TVUH	3	1	5	0	0	5
1	TVUH	3	2	1	2	0	3
1	TVUH	4	1	6	2	0	8
1	TVUH	4	2	2	0	0	2
1	TVUH	5	1	7	0	0	7
1	TVUH	5	2	6	0	0	6
1	TVUH	6	1	3	0	0	3
1	TVUH	6	2	4	0	0	4
1	TVUH	7	1	1	0	0	1
1	TVUH	7	2	4	0	0	4
1	TVUH	8	1	12	0	0	12
1	TVUH	8	2	6	0	0	6
1	TVUH	9	1	17	0	0	17
1	TVUH	9	2	20	0	1	21
1	TVUH	10	1	11	1	0	12
1	TVUH	10	2	2	0	0	2
2	ROF	1	1	0	0	0	0
2	ROF	1	2	0	2	0	2
2	ROF	2	1	0	2	0	2
2	ROF	2	2	0	0	0	0
2	ROF	3	1	0	11	0	11
2	ROF	3	2	NA	NA	NA	NA
2	ROF	4	1	0	0	0	0
2	ROF	4	2	0	0	0	0
2	ROF	5	1	0	43	0	43
2	ROF	5	2	0	5	0	5
2	ROF	6	1	0	2	0	2
2	ROF	6	2	0	23	0	23
2	ROF	7	1	0	0	0	0
2	ROF	7	2	0	0	0	0
2	ROF	8	1	0	11	0	11
2	ROF	8	2	0	0	0	0
2	ROF	9	1	0	0	0	0
2	ROF	9	2	0	0	0	0
2	ROF	10	1	0	16	0	16
2	ROF	10	2	0	1	0	1
2	TVUF	1	1	3	0	0	3
2	TVUF	1	2	NA	NA	NA	NA
2	TVUF	2	1	10	0	0	10
2	TVUF	2	2	51	0	0	51
2	TVUF	3	1	NA	NA	NA	NA
2	TVUF	3	2	1	0	0	1
2	TVUF	4	1	2	0	1	3
2	TVUF	4	2	NA	NA	NA	NA
2	TVUF	5	1	1	0	0	1
2	TVUF	5	2	8	0	1	9
2	TVUF	6	1	31	0	0	31
2	TVUF	6	2	5	0	0	5
2	TVUF	7	1	9	0	0	9
2	TVUF	7	2	14	0	0	14
2	TVUF	8	1	15	4	0	19
2	TVUF	8	2	NA	NA	NA	NA
2	TVUF	9	1	2	1	0	3
2	TVUF	9	2	6	1	1	8
2	TVUF	10	1	9	0	0	9
2	TVUF	10	2	12	0	0	12
2	TVUH	1	1	3	0	0	3
2	TVUH	1	2	0	0	0	0
2	TVUH	2	1	17	0	0	17
2	TVUH	2	2	1	0	0	1
2	TVUH	3	1	3	0	0	3
2	TVUH	3	2	0	0	0	0
2	TVUH	4	1	0	0	0	0
2	TVUH	4	2	15	0	0	16
2	TVUH	5	1	0	0	0	0
2	TVUH	5	2	15	0	0	15
2	TVUH	6	1	2	0	0	2
2	TVUH	6	2	10	0	0	10
2	TVUH	7	1	NA	NA	NA	NA
2	TVUH	7	2	3	0	0	3
2	TVUH	8	1	1	0	0	1
2	TVUH	8	2	7	0	0	7
2	TVUH	9	1	2	0	0	2
2	TVUH	9	2	1	0	0	1
2	TVUH	10	1	4	0	0	4
2	TVUH	10	2	16	0	0	17
3	ROF	1	1	0	52	0	52
3	ROF	1	2	0	12	0	12
3	ROF	2	1	0	9	0	9
3	ROF	2	2	0	4	0	5
3	ROF	3	1	0	5	0	5
3	ROF	3	2	0	7	0	7
3	ROF	4	1	0	10	0	10
3	ROF	4	2	NA	NA	NA	NA
3	ROF	5	1	0	1	0	1
3	ROF	5	2	1	3	0	4
3	ROF	6	1	0	2	0	2
3	ROF	6	2	0	6	0	6
3	ROF	7	1	0	4	0	4
3	ROF	7	2	0	0	0	0
3	ROF	8	1	0	26	0	26
3	ROF	8	2	0	26	0	26
3	ROF	9	1	0	0	0	0
3	ROF	9	2	0	3	0	3
3	ROF	10	1	0	0	0	0
3	ROF	10	2	0	8	0	8
3	TVUF	1	1	49	0	0	49
3	TVUF	1	2	7	0	0	7
3	TVUF	2	1	4	0	0	4
3	TVUF	2	2	12	0	0	12
3	TVUF	3	1	0	0	0	0
3	TVUF	3	2	0	0	0	0
3	TVUF	4	1	10	1	0	11
3	TVUF	4	2	1	1	0	2
3	TVUF	5	1	0	0	0	0
3	TVUF	5	2	0	0	0	0
3	TVUF	6	1	0	0	0	0
3	TVUF	6	2	0	0	0	0
3	TVUF	7	1	0	9	0	9
3	TVUF	7	2	4	0	0	5
3	TVUF	8	1	0	0	0	0
3	TVUF	8	2	14	0	0	14
3	TVUF	9	1	23	3	0	26
3	TVUF	9	2	0	0	0	0
3	TVUF	10	1	1	9	34	44
3	TVUF	10	2	0	0	0	0
3	TVUH	1	1	11	0	0	11
3	TVUH	1	2	18	0	0	18
3	TVUH	2	1	3	0	0	3
3	TVUH	2	2	2	0	0	4
3	TVUH	3	1	2	1	0	3
3	TVUH	3	2	NA	NA	NA	NA
3	TVUH	4	1	13	6	0	19
3	TVUH	4	2	5	4	0	9
3	TVUH	5	1	13	0	0	13
3	TVUH	5	2	36	2	0	39
3	TVUH	6	1	35	3	0	38
3	TVUH	6	2	8	0	0	8
3	TVUH	7	1	11	1	0	21
3	TVUH	7	2	2	1	0	3
3	TVUH	8	1	11	0	0	11
3	TVUH	8	2	0	0	0	0
3	TVUH	9	1	23	0	0	23
3	TVUH	9	2	NA	NA	NA	NA
3	TVUH	10	1	14	0	0	14
3	TVUH	10	2	10	0	0	10
4	ROF	1	1	0	0	0	0
4	ROF	1	2	0	1	0	1
4	ROF	2	1	0	3	0	3
4	ROF	2	2	0	1	0	1
4	ROF	3	1	0	3	0	3
4	ROF	3	2	0	0	0	0
4	ROF	4	1	0	32	0	32
4	ROF	4	2	0	0	0	0
4	ROF	5	1	0	11	0	11
4	ROF	5	2	0	11	0	12
4	ROF	6	1	0	0	0	0
4	ROF	6	2	0	1	0	1
4	ROF	7	1	0	20	0	20
4	ROF	7	2	0	15	0	15
4	ROF	8	1	0	1	0	1
4	ROF	8	2	0	0	0	0
4	ROF	9	1	0	7	0	7
4	ROF	9	2	0	1	0	1
4	ROF	10	1	0	19	0	19
4	ROF	10	2	0	21	0	21
4	TVUF	1	1	44	0	0	44
4	TVUF	1	2	23	0	0	23
4	TVUF	2	1	10	0	0	10
4	TVUF	2	2	1	0	0	1
4	TVUF	3	1	8	0	0	8
4	TVUF	3	2	0	0	0	0
4	TVUF	4	1	14	0	0	14
4	TVUF	4	2	36	0	0	36
4	TVUF	5	1	66	0	0	66
4	TVUF	5	2	0	0	0	0
4	TVUF	6	1	39	0	0	39
4	TVUF	6	2	0	0	0	0
4	TVUF	7	1	1	0	0	1
4	TVUF	7	2	3	0	0	3
4	TVUF	8	1	46	0	0	46
4	TVUF	8	2	46	2	0	48
4	TVUF	9	1	6	1	0	7
4	TVUF	9	2	3	0	0	3
4	TVUF	10	1	6	2	0	8
4	TVUF	10	2	5	1	0	6
4	TVUH	1	1	0	0	0	0
4	TVUH	1	2	1	0	0	1
4	TVUH	2	1	3	0	0	3
4	TVUH	2	2	1	0	0	1
4	TVUH	3	1	23	1	0	24
4	TVUH	3	2	7	0	0	7
4	TVUH	4	1	2	0	0	2
4	TVUH	4	2	6	0	0	6
4	TVUH	5	1	3	0	0	3
4	TVUH	5	2	4	0	0	4
4	TVUH	6	1	3	0	0	3
4	TVUH	6	2	5	0	0	5
4	TVUH	7	1	0	0	0	0
4	TVUH	7	2	8	0	0	8
4	TVUH	8	1	23	0	0	23
4	TVUH	8	2	5	0	0	5
4	TVUH	9	1	6	0	0	6
4	TVUH	9	2	48	0	0	48
4	TVUH	10	1	2	0	0	2
