Plot      PollinatorPollinatorPollinatorFunctionalSpecies   Abundance
19        Andrena_liBee       Large_bee Short-tongEFL       1
14        Andrena_liBee       Large_bee Short-tongROF       1
15        Andrena_niBee       Large_bee Short-tongCSA       1
39        Andrena_niBee       Large_bee Short-tongCSA       2
4         Andrena_niBee       Large_bee Short-tongROF       2
5         Andrena_niBee       Large_bee Short-tongROF       1
6         Andrena_niBee       Large_bee Short-tongROF       1
8         Andrena_niBee       Large_bee Short-tongROF       1
10        Andrena_niBee       Large_bee Short-tongROF       1
13        Andrena_niBee       Large_bee Short-tongROF       1
15        Andrena_niBee       Large_bee Short-tongROF       1
16        Andrena_niBee       Large_bee Short-tongROF       1
18        Andrena_niBee       Large_bee Short-tongROF       1
24        Andrena_niBee       Large_bee Short-tongROF       3
14        Andrena_niBee       Large_bee Short-tongTVUF      1
16        Andrena_niBee       Large_bee Short-tongTVUF      1
19        Andrena_niBee       Large_bee Short-tongTVUF      2
11        Andrena_niBee       Large_bee Short-tongTVUH      1
15        Andrena_niBee       Large_bee Short-tongTVUH      1
26        Andrena_niBee       Large_bee Short-tongTVUH      1
32        Andrena_niBee       Large_bee Short-tongTVUH      1
21        AnthophoraBee       Large_bee Long-tonguFLA       1
34        AnthophoraBee       Large_bee Long-tonguHOE       1
2         AnthophoraBee       Large_bee Long-tonguROF       2
34        AnthophoraBee       Large_bee Long-tonguROF       1
34        AnthophoraBee       Large_bee Long-tonguTVUF      1
7         AnthophoraBee       Large_bee Long-tonguCSP       1
20        AnthophoraBee       Large_bee Long-tonguCSP       1
35        AnthophoraBee       Large_bee Long-tonguCSP       2
1         AnthophoraBee       Large_bee Long-tonguROF       1
11        AnthophoraBee       Large_bee Long-tonguROF       1
13        AnthophoraBee       Large_bee Long-tonguROF       2
25        AnthophoraBee       Large_bee Long-tonguROF       1
32        AnthophoraBee       Large_bee Long-tonguROF       2
35        AnthophoraBee       Large_bee Long-tonguROF       1
37        AnthophoraBee       Large_bee Long-tonguROF       1
17        Bombus_pasBee       Large_bee Long-tonguROF       1
1         Bombus_terBee       Large_bee Long-tonguROF       4
2         Bombus_terBee       Large_bee Long-tonguROF       2
3         Bombus_terBee       Large_bee Long-tonguROF       1
5         Bombus_terBee       Large_bee Long-tonguROF       1
14        Bombus_terBee       Large_bee Long-tonguROF       1
20        Bombus_terBee       Large_bee Long-tonguROF       1
23        Bombus_terBee       Large_bee Long-tonguROF       1
25        Bombus_terBee       Large_bee Long-tonguROF       1
32        Bombus_terBee       Large_bee Long-tonguROF       1
37        Bombus_terBee       Large_bee Long-tonguROF       3
12        Eucera_nigBee       Large_bee Long-tonguROF       1
34        Halictus_tBee       Large_bee Short-tongTVUH      1
36        Halictus_tBee       Large_bee Short-tongTVUH      1
38        Halictus_tBee       Large_bee Short-tongTVUH      1
7         LasioglossBee       Large_bee Short-tongROF       1
12        LasioglossBee       Large_bee Short-tongROF       1
27        Megachile_Bee       Large_bee Short-tongLIN       2
3         Megachile_Bee       Large_bee Short-tongROF       1
38        RodanthidiBee       Large_bee Short-tongAZA       1
38        RodanthidiBee       Large_bee Short-tongFLA       1
8         RodanthidiBee       Large_bee Short-tongHOE       1
17        RodanthidiBee       Large_bee Short-tongHOE       1
35        RodanthidiBee       Large_bee Short-tongHOE       1
15        RodanthidiBee       Large_bee Short-tongOLA       1
20        RodanthidiBee       Large_bee Short-tongOLA       1
22        RodanthidiBee       Large_bee Short-tongOLA       1
34        RodanthidiBee       Large_bee Short-tongOLA       3
38        RodanthidiBee       Large_bee Short-tongOLA       1
8         RodanthidiBee       Large_bee Short-tongROF       1
11        RodanthidiBee       Large_bee Short-tongROF       1
14        RodanthidiBee       Large_bee Short-tongROF       1
31        RodanthidiBee       Large_bee Short-tongROF       1
39        RodanthidiBee       Large_bee Short-tongROF       1
34        RodanthidiBee       Large_bee Short-tongTVUF      2
2         Andrena_fuBee       Large_bee Short-tongROF       1
19        Halictus_qBee       Large_bee Short-tongTVUF      1
8         Andrena_djBee       Small_bee Short-tongBLA       1
24        Andrena_djBee       Small_bee Short-tongBLA       1
1         Andrena_djBee       Small_bee Short-tongCAL       1
37        Andrena_djBee       Small_bee Short-tongCAL       18
6         Andrena_djBee       Small_bee Short-tongCSA       4
37        Andrena_djBee       Small_bee Short-tongCSA       1
2         Andrena_djBee       Small_bee Short-tongEFL       4
14        Andrena_djBee       Small_bee Short-tongEFL       1
17        Andrena_djBee       Small_bee Short-tongEFL       1
19        Andrena_djBee       Small_bee Short-tongEFL       1
24        Andrena_djBee       Small_bee Short-tongEFL       3
29        Andrena_djBee       Small_bee Short-tongEFL       2
30        Andrena_djBee       Small_bee Short-tongEFL       1
19        Andrena_djBee       Small_bee Short-tongHOE       1
29        Andrena_djBee       Small_bee Short-tongHOE       1
9         Andrena_djBee       Small_bee Short-tongROF       1
14        Andrena_djBee       Small_bee Short-tongROF       1
26        Andrena_djBee       Small_bee Short-tongROF       1
10        Andrena_djBee       Small_bee Short-tongTVUF      2
14        Andrena_djBee       Small_bee Short-tongTVUF      1
30        Andrena_djBee       Small_bee Short-tongTVUF      1
37        Andrena_djBee       Small_bee Short-tongTVUF      1
10        Andrena_djBee       Small_bee Short-tongTVUH      1
16        Andrena_djBee       Small_bee Short-tongTVUH      1
21        Andrena_djBee       Small_bee Short-tongTVUH      1
37        Andrena_djBee       Small_bee Short-tongTVUH      3
24        Andrena_naBee       Small_bee Short-tongBLA       1
38        Andrena_naBee       Small_bee Short-tongCSA       1
20        Ceratina_cBee       Small_bee Short-tongAMO       1
15        Ceratina_cBee       Small_bee Short-tongTVUF      1
7         Hylaeus_gaBee       Small_bee Short-tongTVUF      1
9         Hylaeus_gaBee       Small_bee Short-tongTVUF      1
4         Hylaeus_hyBee       Small_bee Short-tongTVUF      1
19        LasioglossBee       Small_bee Short-tongTVUF      1
22        LasioglossBee       Small_bee Short-tongTVUF      1
38        LasioglossBee       Small_bee Short-tongFLA       1
39        LasioglossBee       Small_bee Short-tongFLA       1
11        LasioglossBee       Small_bee Short-tongHOE       1
22        LasioglossBee       Small_bee Short-tongOLA       1
3         LasioglossBee       Small_bee Short-tongROF       1
30        LasioglossBee       Small_bee Short-tongROF       1
26        LasioglossBee       Small_bee Short-tongTVUF      1
38        LasioglossBee       Small_bee Short-tongTVUF      1
30        LasioglossBee       Small_bee Short-tongTVUH      1
38        LasioglossBee       Small_bee Short-tongTVUH      4
1         LasioglossBee       Small_bee Short-tongCAL       1
16        LasioglossBee       Small_bee Short-tongTVUF      1
37        LasioglossBee       Small_bee Short-tongTVUF      1
1         LasioglossBee       Small_bee Short-tongTVUF      1
6         LasioglossBee       Small_bee Short-tongTVUF      1
34        LasioglossBee       Small_bee Short-tongTVUF      1
36        LasioglossBee       Small_bee Short-tongTVUF      9
9         LasioglossBee       Small_bee Short-tongROF       1
9         LasioglossBee       Small_bee Short-tongTVUH      1
2         LasioglossBee       Small_bee Short-tongROF       3
3         LasioglossBee       Small_bee Short-tongROF       1
12        LasioglossBee       Small_bee Short-tongROF       1
19        LasioglossBee       Small_bee Short-tongROF       3
19        LasioglossBee       Small_bee Short-tongTVUF      2
38        LasioglossBee       Small_bee Short-tongTVUF      1
1         LasioglossBee       Small_bee Short-tongROF       2
3         LasioglossBee       Small_bee Short-tongROF       5
4         LasioglossBee       Small_bee Short-tongROF       2
5         LasioglossBee       Small_bee Short-tongROF       3
8         LasioglossBee       Small_bee Short-tongROF       1
9         LasioglossBee       Small_bee Short-tongROF       2
10        LasioglossBee       Small_bee Short-tongROF       2
12        LasioglossBee       Small_bee Short-tongROF       3
14        LasioglossBee       Small_bee Short-tongROF       5
18        LasioglossBee       Small_bee Short-tongROF       2
19        LasioglossBee       Small_bee Short-tongROF       1
20        LasioglossBee       Small_bee Short-tongROF       1
21        LasioglossBee       Small_bee Short-tongROF       1
24        LasioglossBee       Small_bee Short-tongROF       3
28        LasioglossBee       Small_bee Short-tongROF       1
31        LasioglossBee       Small_bee Short-tongROF       1
38        LasioglossBee       Small_bee Short-tongROF       1
4         LasioglossBee       Small_bee Short-tongTVUF      1
5         LasioglossBee       Small_bee Short-tongTVUF      4
8         LasioglossBee       Small_bee Short-tongTVUF      1
9         LasioglossBee       Small_bee Short-tongTVUF      2
8         Nomada_1  Bee       Small_bee Short-tongTVUF      1
5         Nomada_sheBee       Small_bee Short-tongTVUF      1
1         Andrena_anBee       Small_bee Short-tongROF       1
3         Andrena_anBee       Small_bee Short-tongROF       1
5         Andrena_anBee       Small_bee Short-tongROF       1
6         Andrena_anBee       Small_bee Short-tongROF       2
8         Andrena_anBee       Small_bee Short-tongROF       1
12        Andrena_anBee       Small_bee Short-tongROF       2
17        Andrena_anBee       Small_bee Short-tongROF       1
18        Andrena_anBee       Small_bee Short-tongROF       2
21        Andrena_anBee       Small_bee Short-tongROF       1
24        Andrena_anBee       Small_bee Short-tongROF       1
32        Andrena_anBee       Small_bee Short-tongROF       1
33        Andrena_anBee       Small_bee Short-tongROF       2
38        Andrena_anBee       Small_bee Short-tongROF       2
2         Andrena_anBee       Small_bee Short-tongTVUH      1
24        Andrena_leBee       Small_bee Short-tongEFL       1
22        Andrena_leBee       Small_bee Short-tongTVUF      1
37        Andrena_leBee       Small_bee Short-tongTVUF      1
37        Andrena_naBee       Small_bee Short-tongTVUF      1
