Plot	Pollinator	Pollinator_group	Pollinator_group_2	Functional_group_Rocka	Species	Abundance
19	Andrena_limata	Bee	Large_bee	Short-tongued_large_bees	EFL	1
14	Andrena_limata	Bee	Large_bee	Short-tongued_large_bees	ROF	1
15	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	CSA	1
39	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	CSA	2
4	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	ROF	2
5	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	ROF	1
6	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	ROF	1
8	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	ROF	1
10	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	ROF	1
13	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	ROF	1
15	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	ROF	1
16	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	ROF	1
18	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	ROF	1
24	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	ROF	3
14	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	TVUF	1
16	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	TVUF	1
19	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	TVUF	2
11	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	TVUH	1
15	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	TVUH	1
26	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	TVUH	1
32	Andrena_nigroaenea	Bee	Large_bee	Short-tongued_large_bees	TVUH	1
21	Anthophora_acervorum	Bee	Large_bee	Long-tongued_large_bees	FLA	1
34	Anthophora_acervorum	Bee	Large_bee	Long-tongued_large_bees	HOE	1
2	Anthophora_acervorum	Bee	Large_bee	Long-tongued_large_bees	ROF	2
34	Anthophora_acervorum	Bee	Large_bee	Long-tongued_large_bees	ROF	1
34	Anthophora_acervorum	Bee	Large_bee	Long-tongued_large_bees	TVUF	1
7	Anthophora_dispar	Bee	Large_bee	Long-tongued_large_bees	CSP	1
20	Anthophora_dispar	Bee	Large_bee	Long-tongued_large_bees	CSP	1
35	Anthophora_dispar	Bee	Large_bee	Long-tongued_large_bees	CSP	2
1	Anthophora_dispar	Bee	Large_bee	Long-tongued_large_bees	ROF	1
11	Anthophora_dispar	Bee	Large_bee	Long-tongued_large_bees	ROF	1
13	Anthophora_dispar	Bee	Large_bee	Long-tongued_large_bees	ROF	2
25	Anthophora_dispar	Bee	Large_bee	Long-tongued_large_bees	ROF	1
32	Anthophora_dispar	Bee	Large_bee	Long-tongued_large_bees	ROF	2
35	Anthophora_dispar	Bee	Large_bee	Long-tongued_large_bees	ROF	1
37	Anthophora_dispar	Bee	Large_bee	Long-tongued_large_bees	ROF	1
17	Bombus_pascuorum	Bee	Large_bee	Long-tongued_large_bees	ROF	1
1	Bombus_terrestris	Bee	Large_bee	Long-tongued_large_bees	ROF	4
2	Bombus_terrestris	Bee	Large_bee	Long-tongued_large_bees	ROF	2
3	Bombus_terrestris	Bee	Large_bee	Long-tongued_large_bees	ROF	1
5	Bombus_terrestris	Bee	Large_bee	Long-tongued_large_bees	ROF	1
14	Bombus_terrestris	Bee	Large_bee	Long-tongued_large_bees	ROF	1
20	Bombus_terrestris	Bee	Large_bee	Long-tongued_large_bees	ROF	1
23	Bombus_terrestris	Bee	Large_bee	Long-tongued_large_bees	ROF	1
25	Bombus_terrestris	Bee	Large_bee	Long-tongued_large_bees	ROF	1
32	Bombus_terrestris	Bee	Large_bee	Long-tongued_large_bees	ROF	1
37	Bombus_terrestris	Bee	Large_bee	Long-tongued_large_bees	ROF	3
12	Eucera_nigrilabris	Bee	Large_bee	Long-tongued_large_bees	ROF	1
34	Halictus_tetrazonius	Bee	Large_bee	Short-tongued_large_bees	TVUH	1
36	Halictus_tetrazonius	Bee	Large_bee	Short-tongued_large_bees	TVUH	1
38	Halictus_tetrazonius	Bee	Large_bee	Short-tongued_large_bees	TVUH	1
7	Lasioglossum_albocinctum	Bee	Large_bee	Short-tongued_large_bees	ROF	1
12	Lasioglossum_albocinctum	Bee	Large_bee	Short-tongued_large_bees	ROF	1
27	Megachile_pyrenaica	Bee	Large_bee	Short-tongued_large_bees	LIN	2
3	Megachile_pyrenaica	Bee	Large_bee	Short-tongued_large_bees	ROF	1
38	Rodanthidium_sticticum	Bee	Large_bee	Short-tongued_large_bees	AZA	1
38	Rodanthidium_sticticum	Bee	Large_bee	Short-tongued_large_bees	FLA	1
8	Rodanthidium_sticticum	Bee	Large_bee	Short-tongued_large_bees	HOE	1
17	Rodanthidium_sticticum	Bee	Large_bee	Short-tongued_large_bees	HOE	1
35	Rodanthidium_sticticum	Bee	Large_bee	Short-tongued_large_bees	HOE	1
15	Rodanthidium_sticticum	Bee	Large_bee	Short-tongued_large_bees	OLA	1
20	Rodanthidium_sticticum	Bee	Large_bee	Short-tongued_large_bees	OLA	1
22	Rodanthidium_sticticum	Bee	Large_bee	Short-tongued_large_bees	OLA	1
34	Rodanthidium_sticticum	Bee	Large_bee	Short-tongued_large_bees	OLA	3
38	Rodanthidium_sticticum	Bee	Large_bee	Short-tongued_large_bees	OLA	1
8	Rodanthidium_sticticum	Bee	Large_bee	Short-tongued_large_bees	ROF	1
11	Rodanthidium_sticticum	Bee	Large_bee	Short-tongued_large_bees	ROF	1
14	Rodanthidium_sticticum	Bee	Large_bee	Short-tongued_large_bees	ROF	1
31	Rodanthidium_sticticum	Bee	Large_bee	Short-tongued_large_bees	ROF	1
39	Rodanthidium_sticticum	Bee	Large_bee	Short-tongued_large_bees	ROF	1
34	Rodanthidium_sticticum	Bee	Large_bee	Short-tongued_large_bees	TVUF	2
2	Andrena_fulva	Bee	Large_bee	Short-tongued_medium-sized_bees	ROF	1
19	Halictus_quadricinctus	Bee	Large_bee	Short-tongued_medium-sized_bees	TVUF	1
8	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	BLA	1
24	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	BLA	1
1	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	CAL	1
37	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	CAL	18
6	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	CSA	4
37	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	CSA	1
2	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	EFL	4
