Plot	11h	13h	15h	Max	Min	Mean	Range	DATA	ROMA
3	NA	NA	NA	NA	NA	NA	NA	2	18.27
6	NA	NA	NA	NA	NA	NA	NA	2	18.27
12	NA	NA	NA	NA	NA	NA	NA	2	18.27
4	NA	NA	NA	NA	NA	NA	NA	3	19.03
10	NA	NA	NA	NA	NA	NA	NA	3	19.03
36	NA	NA	NA	NA	NA	NA	NA	3	19.03
39	NA	NA	NA	NA	NA	NA	NA	3	19.03
1	15	19	21	21	14	17.25	7	5	18.70
5	20	19	20	20	19	19.67	1	5	18.70
26	16	19	18	19	16	17.67	3	5	18.70
7	16	19	20	20	16	18.33	4	6	16.55
13	14	20	17	20	14	17.00	6	6	16.55
32	17	18	24	24	17	19.67	7	6	16.55
28	19	19	18	19	18	18.67	1	7	17.87
31	16	22	19	22	16	19.00	6	7	17.87
34	14	24	24	24	14	20.67	10	8	17.74
38	18	21	24	24	18	21.00	6	8	17.74
35	15	20	20	20	15	18.33	5	9	18.40
37	15	20	20	20	15	18.33	5	9	18.40
25	17	18	18	18	17	17.67	1	10	18.51
40	17	16	16	17	16	16.33	1	10	18.51
16	18	19	19	19	18	18.67	1	11	21.29
23	16	22	22	22	16	20.00	6	11	21.29
27	16	18	16	18	16	16.67	2	11	21.29
2	18	19	21	21	18	19.33	3	12	22.33
8	21	25	23	25	21	23.00	4	12	22.33
9	19	20	23	23	19	20.67	4	12	22.33
14	20	20	24	24	20	21.33	4	12	22.33
30	20	19	23	23	19	20.67	4	13	23.36
33	21	22	22	22	21	21.67	1	13	23.36
15	25	29	32	32	25	28.67	7	14	24.87
18	22	28	29	29	22	26.33	7	14	24.87
22	20	28	33	33	20	27.00	13	14	24.87
24	23	28	31	31	23	27.33	8	14	24.87
11	19	23	26	26	19	22.67	7	15	22.55
17	19	23	25	25	19	22.33	6	15	22.55
29	16	20	19	20	16	18.33	4	15	22.55
19	19	23	22	23	19	21.33	4	17	23.92
20	23	25	20	25	20	22.67	5	17	23.92
21	22	22	22	22	22	22.00	0	17	23.92
