1_Bees	3_Ant	6_Wasps	2_Coleopterans	4_Dipterans	5_Lepidopterans	total
60.8	0.0	7.5	20.0	0.0	11.7	1.0
84.0	4.0	4.0	0.0	4.0	4.0	4.0
85.8	0.0	0.0	0.9	13.2	0.0	4.0
85.7	0.0	0.0	14.3	0.0	0.0	5.0
47.4	1.0	0.0	45.4	5.2	1.0	5.0
63.0	0.0	0.0	0.0	37.0	0.0	3.0
29.4	5.8	0.0	58.8	3.9	2.0	3.0
85.2	10.4	0.0	3.5	0.9	0.0	4.0
11.2	79.5	0.8	7.2	1.1	0.2	5.0
95.9	1.3	0.0	0.9	1.7	0.2	3.0
46.2	7.5	0.9	15.1	29.2	0.9	5.0
50.7	30.8	0.0	7.7	7.7	0.0	5.0
58.0	0.0	1.6	12.9	27.4	0.0	2.0
48.5	32.3	0.0	19.2	0.0	0.0	1.0
15.6	0.5	0.5	8.9	5.2	69.3	1.0
40.5	11.5	0.5	39.8	0.9	6.8	1.0
11.8	0.0	0.0	0.8	28.6	58.8	3.0
77.9	0.2	3.3	16.7	0.7	1.2	4.0
18.7	4.9	0.6	75.4	0.3	0.1	4.0
18.7	0.2	7.0	68.1	2.5	3.5	4.0
30.9	2.0	0.0	50.4	16.7	0.0	4.0
37.2	15.1	1.2	7.0	39.5	0.0	4.0
3.9	1.0	3.2	83.9	7.3	0.7	4.0
3.2	40.6	0.5	53.7	1.9	0.0	4.0
11.9	26.6	8.6	40.4	11.0	1.5	4.0
77.9	0.0	1.5	5.9	0.0	14.7	3.0
10.4	0.0	0.0	83.9	5.7	0.0	3.0
11.7	7.0	0.3	76.2	3.1	1.6	3.0
46.4	0.0	4.7	35.6	13.3	0.0	5.0
14.8	1.6	1.6	53.3	0.0	28.7	5.0
0.7	28.6	0.4	69.1	1.2	0.0	5.0
46.7	2.5	0.0	32.8	18.0	0.0	4.0
71.4	0.0	9.2	4.1	0.0	15.3	3.0
61.7	11.3	0.9	18.4	1.5	6.2	3.0
76.4	1.3	8.8	9.1	3.5	0.9	3.0
29.6	0.0	3.7	42.0	17.3	7.4	3.0
93.8	1.2	0.4	3.1	1.6	0.0	3.0
92.1	0.0	2.4	0.0	4.8	0.8	3.0
59.5	0.9	3.6	2.7	19.8	13.5	5.0
32.0	0.0	0.0	1.0	67.0	0.0	4.0
1.9	51.0	1.9	4.2	40.5	0.4	5.0
2.3	41.6	2.0	1.2	52	0.8	5.0
27.4	11.3	2.7	25.3	33.3	0.0	5.0
2.8	65.7	7.4	12.0	12.0	0.0	5.0
30.1	15.4	4.9	12.6	37.0	0.0	5.0
