Group	Site	Pollinator	Percentage
CANET	G4	Bees	47.4
CANET	G4	Bees	46.2
CANET	G1	Bees	48.5
CANET	G4	Bees	0.7
CANET	G4	Bees	2.8
CANET	G4	Bees	3.6
CANET	G1	Bees	20.7
CANET	G3	Bees	100.0
CANET	G3	Bees	93.0
CANET	G4	Bees	7.5
CANET	G3	Bees	44.2
CANET	G2	Bees	17.8
CANET	G4	Bees	45.0
CANET	G2	Bees	30.0
CANET	G4	Bees	61.4
CANET	G4	Bees	71.7
CANET	G2	Bees	38.9
COLLSEROLA	G2	Bees	85.8
COLLSEROLA	G5	Bees	63.0
COLLSEROLA	G2	Bees	85.2
COLLSEROLA	G2	Bees	95.9
COLLSEROLA	G5	Bees	50.7
COLLSEROLA	G5	Bees	58.0
COLLSEROLA	G3	Bees	11.8
COLLSEROLA	G2	Bees	77.9
COLLSEROLA	G4	Bees	37.2
COLLSEROLA	G2	Bees	10.4
COLLSEROLA	G5	Bees	46.4
COLLSEROLA	G5	Bees	14.8
COLLSEROLA	G4	Bees	46.7
COLLSEROLA	G1	Bees	93.8
COLLSEROLA	G2	Bees	32.0
COLLSEROLA	G4	Bees	27.4
COLLSEROLA	G4	Bees	30.1
COLLSEROLA	G5	Bees	10.2
COLLSEROLA	G4	Bees	20.3
COLLSEROLA	G5	Bees	24.0
COLLSEROLA	G1	Bees	47.7
COLLSEROLA	G4	Bees	78.2
COLLSEROLA	G3	Bees	78.9
COLLSEROLA	G3	Bees	95.5
COLLSEROLA	G2	Bees	100.0
COLLSEROLA	G4	Bees	91.4
COLLSEROLA	G4	Bees	61.0
COLLSEROLA	G5	Bees	38.1
COLLSEROLA	G2	Bees	68.6
COLLSEROLA	G3	Bees	78.8
COLLSEROLA	G5	Bees	38.7
COLLSEROLA	G5	Bees	91.0
COLLSEROLA	G5	Bees	23.0
COLLSEROLA	G3	Bees	94.1
COLLSEROLA	G5	Bees	78.9
COLLSEROLA	G5	Bees	96.4
COLLSEROLA	G4	Bees	67.9
COLLSEROLA	G3	Bees	98.3
COLLSEROLA	G3	Bees	26.4
COLLSEROLA	G2	Bees	60.8
COLLSEROLA	G4	Bees	58.0
COLLSEROLA	G5	Bees	11.9
COLLSEROLA	G5	Bees	82.6
COLLSEROLA	G4	Bees	24.3
COLLSEROLA	G5	Bees	48.6
GARRAF	G4	Bees	60.8
GARRAF	G2	Bees	84.0
GARRAF	G3	Bees	29.4
GARRAF	G4	Bees	11.2
GARRAF	G1	Bees	15.6
GARRAF	G1	Bees	40.5
GARRAF	G4	Bees	18.7
GARRAF	G4	Bees	30.9
GARRAF	G4	Bees	3.2
GARRAF	G3	Bees	11.7
GARRAF	G3	Bees	61.7
GARRAF	G3	Bees	29.6
GARRAF	G4	Bees	1.9
GARRAF	G4	Bees	2.3
GARRAF	G4	Bees	62.0
GARRAF	G4	Bees	8.2
GARRAF	G3	Bees	60.0
GARRAF	G3	Bees	15.8
GARRAF	G1	Bees	68.4
GARRAF	G2	Bees	94.0
GARRAF	G3	Bees	97.0
GARRAF	G4	Bees	12.2
GARRAF	G4	Bees	51.7
GARRAF	G3	Bees	87.9
GARRAF	G4	Bees	90.0
GARRAF	G3	Bees	74.4
GARRAF	G3	Bees	70.1
GARRAF	G3	Bees	83.6
PAPIOL	G4	Bees	85.7
PAPIOL	G1	Bees	18.7
PAPIOL	G1	Bees	3.9
PAPIOL	G1	Bees	11.9
PAPIOL	G2	Bees	77.9
PAPIOL	G4	Bees	71.4
PAPIOL	G4	Bees	76.4
PAPIOL	G2	Bees	92.1
PAPIOL	G4	Bees	59.5
PAPIOL	G3	Bees	7.7
PAPIOL	G1	Bees	53.8
PAPIOL	G4	Bees	71.6
PAPIOL	G4	Bees	79.6
PAPIOL	G1	Bees	29.9
PAPIOL	G4	Bees	43.6
PAPIOL	G4	Bees	94.0
PAPIOL	G3	Bees	53.9
PAPIOL	G4	Bees	74
PAPIOL	G1	Bees	0.0
PAPIOL	G4	Bees	8.6
PAPIOL	G4	Bees	96.8
CANET	G4	Coleopterans	45.4
CANET	G4	Coleopterans	15.1
CANET	G1	Coleopterans	19.2
CANET	G4	Coleopterans	69.1
CANET	G4	Coleopterans	12.0
CANET	G4	Coleopterans	6.7
CANET	G1	Coleopterans	25.5
CANET	G3	Coleopterans	0.0
CANET	G3	Coleopterans	0.0
CANET	G4	Coleopterans	49.6
CANET	G3	Coleopterans	13.5
CANET	G2	Coleopterans	78.9
CANET	G4	Coleopterans	5
CANET	G2	Coleopterans	58.0
CANET	G4	Coleopterans	18.5
CANET	G4	Coleopterans	10.4
CANET	G2	Coleopterans	33.3
COLLSEROLA	G2	Coleopterans	0.9
COLLSEROLA	G5	Coleopterans	0.0
COLLSEROLA	G2	Coleopterans	3.5
COLLSEROLA	G2	Coleopterans	0.9
COLLSEROLA	G5	Coleopterans	7.7
COLLSEROLA	G5	Coleopterans	12.9
COLLSEROLA	G3	Coleopterans	0.8
COLLSEROLA	G2	Coleopterans	16.7
COLLSEROLA	G4	Coleopterans	7.0
COLLSEROLA	G2	Coleopterans	83.9
COLLSEROLA	G5	Coleopterans	35.6
COLLSEROLA	G5	Coleopterans	53.3
COLLSEROLA	G4	Coleopterans	32.8
COLLSEROLA	G1	Coleopterans	3.1
COLLSEROLA	G2	Coleopterans	1.0
COLLSEROLA	G4	Coleopterans	25.3
COLLSEROLA	G4	Coleopterans	12.6
COLLSEROLA	G5	Coleopterans	21.4
COLLSEROLA	G4	Coleopterans	39.2
COLLSEROLA	G5	Coleopterans	69.0
COLLSEROLA	G1	Coleopterans	9.7
COLLSEROLA	G4	Coleopterans	5.4
COLLSEROLA	G3	Coleopterans	12.3
COLLSEROLA	G3	Coleopterans	1.0
COLLSEROLA	G2	Coleopterans	0.0
COLLSEROLA	G4	Coleopterans	2.5
COLLSEROLA	G4	Coleopterans	7.4
COLLSEROLA	G5	Coleopterans	17.5
COLLSEROLA	G2	Coleopterans	22.5
COLLSEROLA	G3	Coleopterans	5.8
COLLSEROLA	G5	Coleopterans	4.8
COLLSEROLA	G5	Coleopterans	3.5
COLLSEROLA	G5	Coleopterans	1.1
COLLSEROLA	G3	Coleopterans	2.7
COLLSEROLA	G5	Coleopterans	11.3
COLLSEROLA	G5	Coleopterans	1.2
COLLSEROLA	G4	Coleopterans	11.3
COLLSEROLA	G3	Coleopterans	0.3
COLLSEROLA	G3	Coleopterans	3.8
COLLSEROLA	G2	Coleopterans	28.0
COLLSEROLA	G4	Coleopterans	23.9
COLLSEROLA	G5	Coleopterans	75.9
COLLSEROLA	G5	Coleopterans	1.7
COLLSEROLA	G4	Coleopterans	45.2
COLLSEROLA	G5	Coleopterans	40.9
GARRAF	G4	Coleopterans	20.0
GARRAF	G2	Coleopterans	0.0
GARRAF	G3	Coleopterans	58.8
GARRAF	G4	Coleopterans	7.2
GARRAF	G1	Coleopterans	8.9
GARRAF	G1	Coleopterans	39.8
GARRAF	G4	Coleopterans	75.4
GARRAF	G4	Coleopterans	50.4
GARRAF	G4	Coleopterans	53.7
GARRAF	G3	Coleopterans	76.2
GARRAF	G3	Coleopterans	18.4
GARRAF	G3	Coleopterans	42.0
GARRAF	G4	Coleopterans	4.2
GARRAF	G4	Coleopterans	1.2
GARRAF	G4	Coleopterans	6.0
GARRAF	G4	Coleopterans	66.8
GARRAF	G3	Coleopterans	4.6
GARRAF	G3	Coleopterans	5.0
GARRAF	G1	Coleopterans	4.5
GARRAF	G2	Coleopterans	0.0
GARRAF	G3	Coleopterans	3.0
GARRAF	G4	Coleopterans	12.2
GARRAF	G4	Coleopterans	14.6
GARRAF	G3	Coleopterans	4.1
GARRAF	G4	Coleopterans	0.0
GARRAF	G3	Coleopterans	2.6
GARRAF	G3	Coleopterans	4.5
GARRAF	G3	Coleopterans	4.1
PAPIOL	G4	Coleopterans	14.3
PAPIOL	G1	Coleopterans	68.1
PAPIOL	G1	Coleopterans	83.9
PAPIOL	G1	Coleopterans	40.4
PAPIOL	G2	Coleopterans	5.9
PAPIOL	G4	Coleopterans	4.1
PAPIOL	G4	Coleopterans	9.1
PAPIOL	G2	Coleopterans	0.0
PAPIOL	G4	Coleopterans	2.7
PAPIOL	G3	Coleopterans	92.3
PAPIOL	G1	Coleopterans	19.8
PAPIOL	G4	Coleopterans	0.2
PAPIOL	G4	Coleopterans	2.8
PAPIOL	G1	Coleopterans	65.6
PAPIOL	G4	Coleopterans	9.6
PAPIOL	G4	Coleopterans	0.4
PAPIOL	G3	Coleopterans	13.2
PAPIOL	G4	Coleopterans	1.3
PAPIOL	G1	Coleopterans	0
PAPIOL	G4	Coleopterans	1.1
PAPIOL	G4	Coleopterans	0.0
CANET	G4	Ants	1.0
CANET	G4	Ants	7.5
CANET	G1	Ants	32.3
CANET	G4	Ants	28.6
CANET	G4	Ants	65.7
CANET	G4	Ants	77.6
CANET	G1	Ants	53.1
CANET	G3	Ants	0.0
CANET	G3	Ants	7.0
CANET	G4	Ants	7.5
CANET	G3	Ants	30.8
CANET	G2	Ants	0.0
CANET	G4	Ants	46
CANET	G2	Ants	2.0
CANET	G4	Ants	8.2
CANET	G4	Ants	4.7
CANET	G2	Ants	13.0
COLLSEROLA	G2	Ants	0.0
COLLSEROLA	G5	Ants	0.0
COLLSEROLA	G2	Ants	10.4
COLLSEROLA	G2	Ants	1.3
COLLSEROLA	G5	Ants	30.8
COLLSEROLA	G5	Ants	0.0
COLLSEROLA	G3	Ants	0.0
COLLSEROLA	G2	Ants	0.2
COLLSEROLA	G4	Ants	15.1
COLLSEROLA	G2	Ants	0.0
COLLSEROLA	G5	Ants	0.0
COLLSEROLA	G5	Ants	1.6
COLLSEROLA	G4	Ants	2.5
COLLSEROLA	G1	Ants	1.2
COLLSEROLA	G2	Ants	0.0
COLLSEROLA	G4	Ants	11.3
COLLSEROLA	G4	Ants	15.4
COLLSEROLA	G5	Ants	44.4
COLLSEROLA	G4	Ants	0.0
COLLSEROLA	G5	Ants	0.0
COLLSEROLA	G1	Ants	33.1
COLLSEROLA	G4	Ants	0.6
COLLSEROLA	G3	Ants	3.5
COLLSEROLA	G3	Ants	0.2
COLLSEROLA	G2	Ants	0.0
COLLSEROLA	G4	Ants	0.0
COLLSEROLA	G4	Ants	9.2
COLLSEROLA	G5	Ants	15.5
COLLSEROLA	G2	Ants	0.0
COLLSEROLA	G3	Ants	0.0
COLLSEROLA	G5	Ants	0.0
COLLSEROLA	G5	Ants	0.0
COLLSEROLA	G5	Ants	55.1
COLLSEROLA	G3	Ants	0.0
COLLSEROLA	G5	Ants	9.2
COLLSEROLA	G5	Ants	1.2
COLLSEROLA	G4	Ants	5.7
COLLSEROLA	G3	Ants	0.0
COLLSEROLA	G3	Ants	0.0
COLLSEROLA	G2	Ants	1.6
COLLSEROLA	G4	Ants	12.1
COLLSEROLA	G5	Ants	6.7
COLLSEROLA	G5	Ants	12.2
COLLSEROLA	G4	Ants	6.7
COLLSEROLA	G5	Ants	7.3
GARRAF	G4	Ants	0.0
GARRAF	G2	Ants	4.0
GARRAF	G3	Ants	5.8
GARRAF	G4	Ants	79.5
GARRAF	G1	Ants	0.5
GARRAF	G1	Ants	11.5
GARRAF	G4	Ants	4.9
GARRAF	G4	Ants	2.0
GARRAF	G4	Ants	40.6
GARRAF	G3	Ants	7.0
GARRAF	G3	Ants	11.3
GARRAF	G3	Ants	0.0
GARRAF	G4	Ants	51.0
GARRAF	G4	Ants	41.6
GARRAF	G4	Ants	2.0
GARRAF	G4	Ants	5.6
GARRAF	G3	Ants	32.3
GARRAF	G3	Ants	76.2
GARRAF	G1	Ants	15.8
GARRAF	G2	Ants	0.0
GARRAF	G3	Ants	0.0
GARRAF	G4	Ants	73.1
GARRAF	G4	Ants	14.6
GARRAF	G3	Ants	3.9
GARRAF	G4	Ants	2.0
GARRAF	G3	Ants	13.7
GARRAF	G3	Ants	4.0
GARRAF	G3	Ants	0.0
PAPIOL	G4	Ants	0.0
PAPIOL	G1	Ants	0.2
PAPIOL	G1	Ants	1.0
PAPIOL	G1	Ants	26.6
PAPIOL	G2	Ants	0.0
PAPIOL	G4	Ants	0.0
PAPIOL	G4	Ants	1.3
PAPIOL	G2	Ants	0.0
PAPIOL	G4	Ants	0.9
PAPIOL	G3	Ants	0.0
PAPIOL	G1	Ants	0.0
PAPIOL	G4	Ants	0.0
PAPIOL	G4	Ants	0.0
PAPIOL	G1	Ants	0.0
PAPIOL	G4	Ants	0.0
PAPIOL	G4	Ants	0.5
PAPIOL	G3	Ants	10.5
PAPIOL	G4	Ants	2.6
PAPIOL	G1	Ants	0
PAPIOL	G4	Ants	3.6
PAPIOL	G4	Ants	0.0
CANET	G4	Dipterans	5.2
CANET	G4	Dipterans	29.2
CANET	G1	Dipterans	0.0
CANET	G4	Dipterans	1.2
CANET	G4	Dipterans	12.0
CANET	G4	Dipterans	6.3
CANET	G1	Dipterans	0.7
CANET	G3	Dipterans	0.0
CANET	G3	Dipterans	0.0
CANET	G4	Dipterans	30.1
CANET	G3	Dipterans	0.0
CANET	G2	Dipterans	0.0
CANET	G4	Dipterans	0
CANET	G2	Dipterans	4.0
CANET	G4	Dipterans	4.7
CANET	G4	Dipterans	1.9
CANET	G2	Dipterans	14.8
COLLSEROLA	G2	Dipterans	13.2
COLLSEROLA	G5	Dipterans	37.0
COLLSEROLA	G2	Dipterans	0.9
COLLSEROLA	G2	Dipterans	1.7
COLLSEROLA	G5	Dipterans	7.7
COLLSEROLA	G5	Dipterans	27.4
COLLSEROLA	G3	Dipterans	28.6
COLLSEROLA	G2	Dipterans	0.7
COLLSEROLA	G4	Dipterans	39.5
COLLSEROLA	G2	Dipterans	5.7
COLLSEROLA	G5	Dipterans	13.3
COLLSEROLA	G5	Dipterans	0.0
COLLSEROLA	G4	Dipterans	18.0
COLLSEROLA	G1	Dipterans	1.6
COLLSEROLA	G2	Dipterans	67.0
COLLSEROLA	G4	Dipterans	33.3
COLLSEROLA	G4	Dipterans	37.0
COLLSEROLA	G5	Dipterans	5.3
COLLSEROLA	G4	Dipterans	37.8
COLLSEROLA	G5	Dipterans	6.9
COLLSEROLA	G1	Dipterans	2.2
COLLSEROLA	G4	Dipterans	15.8
COLLSEROLA	G3	Dipterans	0.0
COLLSEROLA	G3	Dipterans	2.0
COLLSEROLA	G2	Dipterans	0.0
COLLSEROLA	G4	Dipterans	4.9
COLLSEROLA	G4	Dipterans	22.3
COLLSEROLA	G5	Dipterans	28.9
COLLSEROLA	G2	Dipterans	8.8
COLLSEROLA	G3	Dipterans	11.5
COLLSEROLA	G5	Dipterans	56.5
COLLSEROLA	G5	Dipterans	2.0
